freq,mag
9.550E3,325.2E-6
9.772E3,317.8E-6
10.00E3,310.6E-6
10.23E3,303.5E-6
10.47E3,296.6E-6
10.72E3,289.9E-6
10.96E3,283.3E-6
11.22E3,276.9E-6
11.48E3,270.6E-6
11.75E3,264.4E-6
12.02E3,258.4E-6
12.30E3,252.5E-6
12.59E3,246.8E-6
12.88E3,241.2E-6
13.18E3,235.7E-6
13.49E3,230.4E-6
13.80E3,225.1E-6
14.13E3,220.0E-6
14.45E3,215.0E-6
14.79E3,210.1E-6
15.14E3,205.3E-6
15.49E3,200.7E-6
15.85E3,196.1E-6
16.22E3,191.7E-6
16.60E3,187.3E-6
16.98E3,183.1E-6
17.38E3,178.9E-6
17.78E3,174.9E-6
18.20E3,170.9E-6
18.62E3,167.0E-6
19.05E3,163.2E-6
19.50E3,159.5E-6
19.95E3,155.9E-6
20.42E3,152.4E-6
20.89E3,148.9E-6
21.38E3,145.5E-6
21.88E3,142.2E-6
22.39E3,139.0E-6
22.91E3,135.9E-6
23.44E3,132.8E-6
23.99E3,129.8E-6
24.55E3,126.9E-6
25.12E3,124.0E-6
25.70E3,121.2E-6
26.30E3,118.4E-6
26.92E3,115.8E-6
27.54E3,113.1E-6
28.18E3,110.6E-6
28.84E3,108.1E-6
29.51E3,105.7E-6
30.20E3,103.3E-6
30.90E3,100.9E-6
31.62E3,98.67E-6
32.36E3,96.45E-6
33.11E3,94.27E-6
33.88E3,92.15E-6
34.67E3,90.08E-6
35.48E3,88.05E-6
36.31E3,86.07E-6
37.15E3,84.14E-6
38.02E3,82.25E-6
38.90E3,80.41E-6
39.81E3,78.61E-6
40.74E3,76.85E-6
41.69E3,75.13E-6
42.66E3,73.45E-6
43.65E3,71.80E-6
44.67E3,70.20E-6
45.71E3,68.64E-6
46.77E3,67.11E-6
47.86E3,65.61E-6
48.98E3,64.15E-6
50.12E3,62.73E-6
51.29E3,61.34E-6
52.48E3,59.98E-6
53.70E3,58.65E-6
54.95E3,57.35E-6
56.23E3,56.09E-6
57.54E3,54.85E-6
58.88E3,53.64E-6
60.26E3,52.47E-6
61.66E3,51.32E-6
63.10E3,50.19E-6
64.57E3,49.09E-6
66.07E3,48.02E-6
67.61E3,46.98E-6
69.18E3,45.96E-6
70.79E3,44.96E-6
72.44E3,43.99E-6
74.13E3,43.04E-6
75.86E3,42.11E-6
77.62E3,41.21E-6
79.43E3,40.33E-6
81.28E3,39.47E-6
83.18E3,38.63E-6
85.11E3,37.81E-6
87.10E3,37.01E-6
89.13E3,36.23E-6
91.20E3,35.47E-6
93.33E3,34.72E-6
95.50E3,34.00E-6
97.72E3,33.30E-6
100.0E3,32.61E-6
102.3E3,31.94E-6
104.7E3,31.28E-6
107.2E3,30.65E-6
109.6E3,30.03E-6
112.2E3,29.42E-6
114.8E3,28.83E-6
117.5E3,28.26E-6
120.2E3,27.70E-6
123.0E3,27.15E-6
125.9E3,26.62E-6
128.8E3,26.11E-6
131.8E3,25.60E-6
134.9E3,25.11E-6
138.0E3,24.64E-6
141.3E3,24.18E-6
144.5E3,23.72E-6
147.9E3,23.29E-6
151.4E3,22.86E-6
154.9E3,22.45E-6
158.5E3,22.05E-6
162.2E3,21.66E-6
166.0E3,21.28E-6
169.8E3,20.91E-6
173.8E3,20.55E-6
177.8E3,20.21E-6
182.0E3,19.87E-6
186.2E3,19.55E-6
190.5E3,19.23E-6
195.0E3,18.93E-6
199.5E3,18.63E-6
204.2E3,18.35E-6
208.9E3,18.07E-6
213.8E3,17.81E-6
218.8E3,17.55E-6
223.9E3,17.30E-6
229.1E3,17.06E-6
234.4E3,16.83E-6
239.9E3,16.61E-6
245.5E3,16.39E-6
251.2E3,16.19E-6
257.0E3,15.99E-6
263.0E3,15.80E-6
269.2E3,15.62E-6
275.4E3,15.45E-6
281.8E3,15.28E-6
288.4E3,15.12E-6
295.1E3,14.97E-6
302.0E3,14.83E-6
309.0E3,14.69E-6
316.2E3,14.56E-6
323.6E3,14.44E-6
331.1E3,14.32E-6
338.8E3,14.21E-6
346.7E3,14.11E-6
354.8E3,14.01E-6
363.1E3,13.92E-6
371.5E3,13.84E-6
380.2E3,13.76E-6
389.0E3,13.69E-6
398.1E3,13.62E-6
407.4E3,13.56E-6
416.9E3,13.51E-6
426.6E3,13.46E-6
436.5E3,13.42E-6
446.7E3,13.38E-6
457.1E3,13.35E-6
467.7E3,13.32E-6
478.6E3,13.30E-6
489.8E3,13.28E-6
501.2E3,13.26E-6
512.9E3,13.26E-6
524.8E3,13.25E-6
537.0E3,13.25E-6
549.5E3,13.26E-6
562.3E3,13.26E-6
575.4E3,13.28E-6
588.8E3,13.29E-6
602.6E3,13.31E-6
616.6E3,13.34E-6
631.0E3,13.36E-6
645.7E3,13.39E-6
660.7E3,13.43E-6
676.1E3,13.46E-6
691.8E3,13.50E-6
707.9E3,13.54E-6
724.4E3,13.59E-6
741.3E3,13.63E-6
758.6E3,13.68E-6
776.2E3,13.73E-6
794.3E3,13.78E-6
812.8E3,13.84E-6
831.8E3,13.89E-6
851.1E3,13.95E-6
871.0E3,14.01E-6
891.3E3,14.07E-6
912.0E3,14.13E-6
933.3E3,14.19E-6
955.0E3,14.26E-6
977.2E3,14.32E-6
1.000E6,14.38E-6
1.023E6,14.45E-6
1.047E6,14.51E-6
1.072E6,14.58E-6
1.096E6,14.64E-6
1.122E6,14.71E-6
1.148E6,14.77E-6
1.175E6,14.84E-6
1.202E6,14.90E-6
1.230E6,14.96E-6
1.259E6,15.03E-6
1.288E6,15.09E-6
1.318E6,15.15E-6
1.349E6,15.21E-6
1.380E6,15.27E-6
1.413E6,15.33E-6
1.445E6,15.39E-6
1.479E6,15.45E-6
1.514E6,15.51E-6
1.549E6,15.56E-6
1.585E6,15.62E-6
1.622E6,15.67E-6
1.660E6,15.72E-6
1.698E6,15.77E-6
1.738E6,15.82E-6
1.778E6,15.87E-6
1.820E6,15.92E-6
1.862E6,15.97E-6
1.905E6,16.01E-6
1.950E6,16.05E-6
1.995E6,16.10E-6
2.042E6,16.14E-6
2.089E6,16.18E-6
2.138E6,16.22E-6
2.188E6,16.26E-6
2.239E6,16.29E-6
2.291E6,16.33E-6
2.344E6,16.36E-6
2.399E6,16.40E-6
2.455E6,16.43E-6
2.512E6,16.46E-6
2.570E6,16.49E-6
2.630E6,16.52E-6
2.692E6,16.55E-6
2.754E6,16.57E-6
2.818E6,16.60E-6
2.884E6,16.62E-6
2.951E6,16.65E-6
3.020E6,16.67E-6
3.090E6,16.69E-6
3.162E6,16.72E-6
3.236E6,16.74E-6
3.311E6,16.76E-6
3.388E6,16.78E-6
3.467E6,16.80E-6
3.548E6,16.81E-6
3.631E6,16.83E-6
3.715E6,16.85E-6
3.802E6,16.86E-6
3.890E6,16.88E-6
3.981E6,16.89E-6
4.074E6,16.91E-6
4.169E6,16.92E-6
4.266E6,16.93E-6
4.365E6,16.94E-6
4.467E6,16.96E-6
4.571E6,16.97E-6
4.677E6,16.98E-6
4.786E6,16.99E-6
4.898E6,17.00E-6
5.012E6,17.01E-6
5.129E6,17.02E-6
5.248E6,17.03E-6
5.370E6,17.03E-6
5.495E6,17.04E-6
5.623E6,17.05E-6
5.754E6,17.06E-6
5.888E6,17.06E-6
6.026E6,17.07E-6
6.166E6,17.08E-6
6.310E6,17.08E-6
6.457E6,17.09E-6
6.607E6,17.10E-6
6.761E6,17.10E-6
6.918E6,17.11E-6
7.079E6,17.11E-6
7.244E6,17.12E-6
7.413E6,17.12E-6
7.586E6,17.12E-6
7.762E6,17.13E-6
7.943E6,17.13E-6
8.128E6,17.14E-6
8.318E6,17.14E-6
8.511E6,17.14E-6
8.710E6,17.15E-6
8.913E6,17.15E-6
9.120E6,17.15E-6
9.333E6,17.16E-6
9.550E6,17.16E-6
9.772E6,17.16E-6
10.00E6,17.16E-6
10.23E6,17.17E-6
10.47E6,17.17E-6
10.72E6,17.17E-6
10.96E6,17.17E-6
11.22E6,17.17E-6
11.48E6,17.18E-6
11.75E6,17.18E-6
12.02E6,17.18E-6
12.30E6,17.18E-6
12.59E6,17.18E-6
12.88E6,17.18E-6
13.18E6,17.19E-6
13.49E6,17.19E-6
13.80E6,17.19E-6
14.13E6,17.19E-6
14.45E6,17.19E-6
14.79E6,17.19E-6
15.14E6,17.19E-6
15.49E6,17.19E-6
15.85E6,17.20E-6
16.22E6,17.20E-6
16.60E6,17.20E-6
16.98E6,17.20E-6
17.38E6,17.20E-6
17.78E6,17.20E-6
18.20E6,17.20E-6
18.62E6,17.20E-6
19.05E6,17.20E-6
19.50E6,17.20E-6
19.95E6,17.20E-6
20.42E6,17.20E-6
20.89E6,17.20E-6
21.38E6,17.20E-6
21.88E6,17.20E-6
22.39E6,17.20E-6
22.91E6,17.20E-6
23.44E6,17.20E-6
23.99E6,17.20E-6
24.55E6,17.20E-6
25.12E6,17.21E-6
25.70E6,17.21E-6
26.30E6,17.21E-6
26.92E6,17.21E-6
27.54E6,17.21E-6
28.18E6,17.21E-6
28.84E6,17.21E-6
29.51E6,17.21E-6
30.20E6,17.21E-6
30.90E6,17.21E-6
31.62E6,17.21E-6
32.36E6,17.21E-6
33.11E6,17.21E-6
33.88E6,17.20E-6
34.67E6,17.20E-6
35.48E6,17.20E-6
36.31E6,17.20E-6
37.15E6,17.20E-6
38.02E6,17.20E-6
38.90E6,17.20E-6
39.81E6,17.20E-6
40.74E6,17.20E-6
41.69E6,17.20E-6
42.66E6,17.20E-6
43.65E6,17.20E-6
44.67E6,17.20E-6
45.71E6,17.20E-6
46.77E6,17.20E-6
47.86E6,17.20E-6
48.98E6,17.20E-6
50.12E6,17.20E-6
51.29E6,17.20E-6
52.48E6,17.19E-6
53.70E6,17.19E-6
54.95E6,17.19E-6
56.23E6,17.19E-6
57.54E6,17.19E-6
58.88E6,17.19E-6
60.26E6,17.19E-6
61.66E6,17.19E-6
63.10E6,17.19E-6
64.57E6,17.18E-6
66.07E6,17.18E-6
67.61E6,17.18E-6
69.18E6,17.18E-6
70.79E6,17.18E-6
72.44E6,17.18E-6
74.13E6,17.17E-6
75.86E6,17.17E-6
77.62E6,17.17E-6
79.43E6,17.17E-6
81.28E6,17.17E-6
83.18E6,17.16E-6
85.11E6,17.16E-6
87.10E6,17.16E-6
89.13E6,17.15E-6
91.20E6,17.15E-6
93.33E6,17.15E-6
95.50E6,17.15E-6
97.72E6,17.14E-6
100.0E6,17.14E-6
102.3E6,17.14E-6
104.7E6,17.13E-6
107.2E6,17.13E-6
109.6E6,17.12E-6
112.2E6,17.12E-6
114.8E6,17.11E-6
117.5E6,17.11E-6
120.2E6,17.10E-6
123.0E6,17.10E-6
125.9E6,17.09E-6
128.8E6,17.09E-6
131.8E6,17.08E-6
134.9E6,17.07E-6
138.0E6,17.07E-6
141.3E6,17.06E-6
144.5E6,17.05E-6
147.9E6,17.05E-6
151.4E6,17.04E-6
154.9E6,17.03E-6
158.5E6,17.02E-6
162.2E6,17.01E-6
166.0E6,17.00E-6
169.8E6,16.99E-6
173.8E6,16.98E-6
177.8E6,16.97E-6
182.0E6,16.96E-6
186.2E6,16.95E-6
190.5E6,16.94E-6
195.0E6,16.92E-6
199.5E6,16.91E-6
204.2E6,16.90E-6
208.9E6,16.88E-6
213.8E6,16.87E-6
218.8E6,16.85E-6
223.9E6,16.83E-6
229.1E6,16.82E-6
234.4E6,16.80E-6
239.9E6,16.78E-6
245.5E6,16.76E-6
251.2E6,16.74E-6
257.0E6,16.72E-6
263.0E6,16.70E-6
269.2E6,16.67E-6
275.4E6,16.65E-6
281.8E6,16.63E-6
288.4E6,16.60E-6
295.1E6,16.57E-6
302.0E6,16.54E-6
309.0E6,16.52E-6
316.2E6,16.49E-6
323.6E6,16.45E-6
331.1E6,16.42E-6
338.8E6,16.39E-6
346.7E6,16.35E-6
354.8E6,16.32E-6
363.1E6,16.28E-6
371.5E6,16.24E-6
380.2E6,16.20E-6
389.0E6,16.15E-6
398.1E6,16.11E-6
407.4E6,16.07E-6
416.9E6,16.02E-6
426.6E6,15.97E-6
436.5E6,15.92E-6
446.7E6,15.87E-6
457.1E6,15.82E-6
467.7E6,15.76E-6
478.6E6,15.70E-6
489.8E6,15.65E-6
501.2E6,15.59E-6
512.9E6,15.52E-6
524.8E6,15.46E-6
537.0E6,15.39E-6
549.5E6,15.33E-6
562.3E6,15.26E-6
575.4E6,15.19E-6
588.8E6,15.11E-6
602.6E6,15.04E-6
616.6E6,14.96E-6
631.0E6,14.88E-6
645.7E6,14.80E-6
660.7E6,14.72E-6
676.1E6,14.64E-6
691.8E6,14.56E-6
707.9E6,14.47E-6
724.4E6,14.38E-6
741.3E6,14.29E-6
758.6E6,14.20E-6
776.2E6,14.11E-6
794.3E6,14.01E-6
812.8E6,13.92E-6
831.8E6,13.82E-6
851.1E6,13.73E-6
871.0E6,13.63E-6
891.3E6,13.53E-6
912.0E6,13.43E-6
933.3E6,13.33E-6
955.0E6,13.22E-6
977.2E6,13.12E-6
1.000E9,13.02E-6
1.023E9,12.92E-6
1.047E9,12.81E-6
1.072E9,12.71E-6
1.096E9,12.60E-6
1.122E9,12.50E-6
1.148E9,12.40E-6
1.175E9,12.29E-6
1.202E9,12.19E-6
1.230E9,12.08E-6
1.259E9,11.98E-6
1.288E9,11.88E-6
1.318E9,11.78E-6
1.349E9,11.68E-6
1.380E9,11.58E-6
1.413E9,11.48E-6
1.445E9,11.38E-6
1.479E9,11.28E-6
1.514E9,11.19E-6
1.549E9,11.09E-6
1.585E9,11.00E-6
1.622E9,10.91E-6
1.660E9,10.81E-6
1.698E9,10.72E-6
1.738E9,10.64E-6
1.778E9,10.55E-6
1.820E9,10.47E-6
1.862E9,10.38E-6
1.905E9,10.30E-6
1.950E9,10.22E-6
1.995E9,10.14E-6
2.042E9,10.07E-6
2.089E9,9.991E-6
2.138E9,9.918E-6
2.188E9,9.847E-6
2.239E9,9.778E-6
2.291E9,9.710E-6
2.344E9,9.644E-6
2.399E9,9.580E-6
2.455E9,9.517E-6
2.512E9,9.457E-6
2.570E9,9.398E-6
2.630E9,9.340E-6
2.692E9,9.285E-6
2.754E9,9.231E-6
2.818E9,9.178E-6
2.884E9,9.128E-6
2.951E9,9.079E-6
3.020E9,9.031E-6
3.090E9,8.985E-6
3.162E9,8.941E-6
3.236E9,8.898E-6
3.311E9,8.856E-6
3.388E9,8.816E-6
3.467E9,8.777E-6
3.548E9,8.740E-6
3.631E9,8.704E-6
3.715E9,8.669E-6
3.802E9,8.636E-6
3.890E9,8.603E-6
3.981E9,8.572E-6
4.074E9,8.542E-6
4.169E9,8.513E-6
4.266E9,8.486E-6
4.365E9,8.459E-6
4.467E9,8.433E-6
4.571E9,8.409E-6
