freq,v_in, v_out
14.45,1,1.99E-01
14.79,1,1.95E-01
15.14,1,1.91E-01
15.49,1,1.87E-01
15.85,1,1.83E-01
16.22,1,1.79E-01
16.6,1,1.75E-01
16.98,1,1.71E-01
17.38,1,1.67E-01
17.78,1,1.63E-01
18.2,1,1.60E-01
18.62,1,1.56E-01
19.05,1,1.53E-01
19.5,1,1.49E-01
19.95,1,1.46E-01
20.42,1,1.43E-01
20.89,1,1.40E-01
21.38,1,1.37E-01
21.88,1,1.33E-01
22.39,1,1.30E-01
22.91,1,1.28E-01
23.44,1,1.25E-01
23.99,1,1.22E-01
24.55,1,1.19E-01
25.12,1,1.17E-01
25.7,1,1.14E-01
26.3,1,1.11E-01
26.92,1,1.09E-01
27.54,1,1.06E-01
28.18,1,1.04E-01
28.84,1,1.02E-01
29.51,1,9.93E-02
30.2,1,9.71E-02
30.9,1,9.49E-02
31.62,1,9.28E-02
32.36,1,9.07E-02
33.11,1,8.86E-02
33.88,1,8.66E-02
34.67,1,8.47E-02
35.48,1,8.28E-02
36.31,1,8.09E-02
37.15,1,7.91E-02
38.02,1,7.73E-02
38.9,1,7.55E-02
39.81,1,7.38E-02
40.74,1,7.22E-02
41.69,1,7.05E-02
42.66,1,6.89E-02
43.65,1,6.74E-02
44.67,1,6.58E-02
45.71,1,6.43E-02
46.77,1,6.29E-02
47.86,1,6.15E-02
48.98,1,6.01E-02
50.12,1,5.87E-02
51.29,1,5.74E-02
52.48,1,5.61E-02
53.7,1,5.48E-02
54.95,1,5.36E-02
56.23,1,5.23E-02
57.54,1,5.12E-02
58.88,1,5.00E-02
60.26,1,4.89E-02
61.66,1,4.78E-02
63.1,1,4.67E-02
64.57,1,4.56E-02
66.07,1,4.46E-02
67.61,1,4.36E-02
69.18,1,4.26E-02
70.79,1,4.16E-02
72.44,1,4.07E-02
74.13,1,3.97E-02
75.86,1,3.88E-02
77.62,1,3.80E-02
79.43,1,3.71E-02
81.28,1,3.62E-02
83.18,1,3.54E-02
85.11,1,3.46E-02
87.1,1,3.38E-02
89.13,1,3.31E-02
91.2,1,3.23E-02
93.33,1,3.16E-02
95.5,1,3.09E-02
97.72,1,3.02E-02
100,1,2.95E-02
102.3,1,2.88E-02
104.7,1,2.81E-02
107.2,1,2.75E-02
109.6,1,2.69E-02
112.2,1,2.63E-02
114.8,1,2.57E-02
117.5,1,2.51E-02
120.2,1,2.45E-02
123,1,2.40E-02
125.9,1,2.34E-02
128.8,1,2.29E-02
131.8,1,2.24E-02
134.9,1,2.19E-02
138,1,2.14E-02
141.3,1,2.09E-02
144.5,1,2.04E-02
147.9,1,1.99E-02
151.4,1,1.95E-02
154.9,1,1.90E-02
158.5,1,1.86E-02
162.2,1,1.82E-02
166,1,1.78E-02
169.8,1,1.74E-02
173.8,1,1.70E-02
177.8,1,1.66E-02
182,1,1.62E-02
186.2,1,1.58E-02
190.5,1,1.55E-02
195,1,1.51E-02
199.5,1,1.48E-02
204.2,1,1.44E-02
208.9,1,1.41E-02
213.8,1,1.38E-02
218.8,1,1.35E-02
223.9,1,1.32E-02
229.1,1,1.29E-02
234.4,1,1.26E-02
239.9,1,1.23E-02
245.5,1,1.20E-02
251.2,1,1.17E-02
257,1,1.15E-02
263,1,1.12E-02
269.2,1,1.10E-02
275.4,1,1.07E-02
281.8,1,1.05E-02
288.4,1,1.02E-02
295.1,1,9.99E-03
302,1,9.76E-03
309,1,9.54E-03
316.2,1,9.32E-03
323.6,1,9.11E-03
331.1,1,8.90E-03
