time,v_out,v_in
5.004,96.20E-3,900.0E-3
5.007,141.7E-3,900.0E-3
5.012,201.9E-3,900.0E-3
5.017,257.6E-3,900.0E-3
5.022,309.2E-3,900.0E-3
5.027,357.4E-3,900.0E-3
5.032,402.2E-3,900.0E-3
5.038,444.2E-3,900.0E-3
5.043,483.7E-3,900.0E-3
5.049,520.8E-3,900.0E-3
5.055,555.6E-3,900.0E-3
5.061,588.2E-3,900.0E-3
5.067,618.6E-3,900.0E-3
5.073,646.9E-3,900.0E-3
5.080,673.1E-3,900.0E-3
5.086,697.5E-3,900.0E-3
5.094,720.0E-3,900.0E-3
5.101,740.7E-3,900.0E-3
5.108,759.7E-3,900.0E-3
5.116,777.1E-3,900.0E-3
5.125,792.9E-3,900.0E-3
5.133,807.3E-3,900.0E-3
5.142,820.3E-3,900.0E-3
5.152,832.0E-3,900.0E-3
5.162,842.4E-3,900.0E-3
5.172,851.7E-3,900.0E-3
5.183,859.9E-3,900.0E-3
5.195,867.0E-3,900.0E-3
5.207,873.2E-3,900.0E-3
5.221,878.6E-3,900.0E-3
5.235,883.2E-3,900.0E-3
5.250,887.0E-3,900.0E-3
5.266,890.2E-3,900.0E-3
5.284,892.8E-3,900.0E-3
5.304,894.8E-3,900.0E-3
5.325,896.4E-3,900.0E-3
5.349,897.7E-3,900.0E-3
5.376,898.6E-3,900.0E-3
5.406,899.2E-3,900.0E-3
5.441,899.6E-3,900.0E-3
5.482,899.8E-3,900.0E-3
5.531,900.0E-3,900.0E-3
5.592,900.0E-3,900.0E-3
5.662,900.0E-3,900.0E-3
5.732,900.0E-3,900.0E-3
5.802,900.0E-3,900.0E-3
5.872,900.0E-3,900.0E-3
5.942,900.0E-3,900.0E-3
6.000,900.0E-3,900.0E-3
6.000,900.0E-3,898.5E-3
6.000,900.0E-3,895.5E-3
6.000,900.0E-3,889.4E-3
6.000,900.0E-3,877.4E-3
6.000,900.0E-3,853.2E-3
6.000,900.0E-3,805.0E-3
6.000,900.0E-3,708.4E-3
6.000,900.0E-3,515.4E-3
6.000,900.0E-3,257.7E-3
6.000,900.0E-3,0.000
6.000,900.0E-3,0.000
6.000,900.0E-3,0.000
6.000,900.0E-3,0.000
6.000,900.0E-3,0.000
6.000,900.0E-3,0.000
6.000,900.0E-3,0.000
6.000,900.0E-3,0.000
6.000,900.0E-3,0.000
6.000,900.0E-3,0.000
6.000,900.0E-3,0.000
6.000,900.1E-3,0.000
6.000,900.1E-3,0.000
6.000,900.2E-3,0.000
6.000,900.4E-3,0.000
6.000,900.8E-3,0.000
6.000,901.6E-3,0.000
6.000,903.1E-3,0.000
6.000,906.2E-3,0.000
6.001,912.3E-3,0.000
6.002,924.4E-3,0.000
6.004,948.2E-3,0.000
6.007,993.7E-3,0.000
6.012,1.054,0.000
6.017,1.110,0.000
6.022,1.161,0.000
6.027,1.209,0.000
6.032,1.254,0.000
6.038,1.296,0.000
6.043,1.336,0.000
6.049,1.373,0.000
6.055,1.408,0.000
6.061,1.440,0.000
6.067,1.471,0.000
6.073,1.499,0.000
6.080,1.525,0.000
6.086,1.549,0.000
6.094,1.572,0.000
6.101,1.593,0.000
6.109,1.612,0.000
6.116,1.629,0.000
6.125,1.645,0.000
6.133,1.659,0.000
6.142,1.672,0.000
6.152,1.684,0.000
6.162,1.694,0.000
6.172,1.704,0.000
6.183,1.712,0.000
6.195,1.719,0.000
6.207,1.725,0.000
6.221,1.731,0.000
6.235,1.735,0.000
6.250,1.739,0.000
6.267,1.742,0.000
6.284,1.745,0.000
6.304,1.747,0.000
6.325,1.748,0.000
6.349,1.750,0.000
6.376,1.751,0.000
6.406,1.751,0.000
6.441,1.752,0.000
6.482,1.752,0.000
6.531,1.752,0.000
6.592,1.752,0.000
6.662,1.752,0.000
6.732,1.752,0.000
6.802,1.752,0.000
6.872,1.752,0.000
6.942,1.752,0.000
7.000,1.752,0.000
