freq,v_out1,v_out2,v_out3,v_out4,v_out5,v_out6,v_out7,v_out numF 73  (V),v_out numF 82  (V),v_out numF 91  (V),v_out numF 100  (V),/v_in numF 10  (V),/v_in numF 19  (V),/v_in numF 28  (V),/v_in numF 37  (V),/v_in numF 46  (V),/v_in numF 55  (V),/v_in numF 64  (V),/v_in numF 73  (V),/v_in numF 82  (V),/v_in numF 91  (V),v_in
478.6E-3,976.9E-3,956.2E-3,935.8E-3,915.8E-3,896.0E-3,876.7E-3,857.8E-3,839.3E-3,821.3E-3,803.8E-3,786.8E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
489.8E-3,976.8E-3,956.2E-3,935.7E-3,915.5E-3,895.7E-3,876.2E-3,857.2E-3,838.6E-3,820.5E-3,802.8E-3,785.6E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
501.2E-3,976.8E-3,956.1E-3,935.5E-3,915.3E-3,895.3E-3,875.8E-3,856.6E-3,837.9E-3,819.6E-3,801.8E-3,784.5E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
512.9E-3,976.8E-3,956.0E-3,935.4E-3,915.0E-3,894.9E-3,875.2E-3,855.9E-3,837.1E-3,818.7E-3,800.7E-3,783.2E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
524.8E-3,976.8E-3,955.9E-3,935.2E-3,914.7E-3,894.5E-3,874.7E-3,855.3E-3,836.2E-3,817.7E-3,799.6E-3,782.0E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
537.0E-3,976.7E-3,955.8E-3,935.0E-3,914.4E-3,894.1E-3,874.1E-3,854.5E-3,835.4E-3,816.7E-3,798.4E-3,780.7E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
549.5E-3,976.7E-3,955.7E-3,934.8E-3,914.1E-3,893.7E-3,873.6E-3,853.8E-3,834.5E-3,815.6E-3,797.2E-3,779.3E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
562.3E-3,976.7E-3,955.6E-3,934.7E-3,913.8E-3,893.2E-3,872.9E-3,853.0E-3,833.5E-3,814.5E-3,795.9E-3,777.8E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
575.4E-3,976.7E-3,955.5E-3,934.4E-3,913.5E-3,892.7E-3,872.3E-3,852.2E-3,832.6E-3,813.3E-3,794.6E-3,776.3E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
588.8E-3,976.6E-3,955.4E-3,934.2E-3,913.1E-3,892.2E-3,871.6E-3,851.4E-3,831.5E-3,812.1E-3,793.2E-3,774.8E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
602.6E-3,976.6E-3,955.3E-3,934.0E-3,912.8E-3,891.7E-3,870.9E-3,850.5E-3,830.5E-3,810.9E-3,791.8E-3,773.2E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
616.6E-3,976.6E-3,955.2E-3,933.8E-3,912.4E-3,891.2E-3,870.2E-3,849.6E-3,829.3E-3,809.6E-3,790.3E-3,771.5E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
631.0E-3,976.5E-3,955.1E-3,933.5E-3,912.0E-3,890.6E-3,869.4E-3,848.6E-3,828.2E-3,808.2E-3,788.7E-3,769.7E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
645.7E-3,976.5E-3,955.0E-3,933.3E-3,911.6E-3,890.0E-3,868.6E-3,847.6E-3,827.0E-3,806.8E-3,787.1E-3,767.9E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
660.7E-3,976.4E-3,954.8E-3,933.0E-3,911.1E-3,889.4E-3,867.8E-3,846.6E-3,825.7E-3,805.3E-3,785.4E-3,766.0E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
676.1E-3,976.4E-3,954.7E-3,932.7E-3,910.7E-3,888.7E-3,866.9E-3,845.5E-3,824.4E-3,803.8E-3,783.6E-3,764.0E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
691.8E-3,976.4E-3,954.5E-3,932.4E-3,910.2E-3,888.0E-3,866.0E-3,844.3E-3,823.0E-3,802.2E-3,781.8E-3,762.0E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
707.9E-3,976.3E-3,954.4E-3,932.1E-3,909.7E-3,887.3E-3,865.1E-3,843.1E-3,821.6E-3,800.5E-3,779.9E-3,759.9E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
724.4E-3,976.3E-3,954.2E-3,931.8E-3,909.2E-3,886.6E-3,864.1E-3,841.9E-3,820.1E-3,798.8E-3,777.9E-3,757.7E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
741.3E-3,976.2E-3,954.1E-3,931.5E-3,908.6E-3,885.8E-3,863.1E-3,840.6E-3,818.6E-3,796.9E-3,775.9E-3,755.4E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
758.6E-3,976.2E-3,953.9E-3,931.1E-3,908.1E-3,885.0E-3,862.0E-3,839.3E-3,816.9E-3,795.1E-3,773.7E-3,753.0E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
776.2E-3,976.1E-3,953.7E-3,930.8E-3,907.5E-3,884.1E-3,860.9E-3,837.9E-3,815.3E-3,793.1E-3,771.5E-3,750.5E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
794.3E-3,976.1E-3,953.5E-3,930.4E-3,906.9E-3,883.2E-3,859.7E-3,836.4E-3,813.5E-3,791.1E-3,769.2E-3,748.0E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
812.8E-3,976.0E-3,953.3E-3,930.0E-3,906.2E-3,882.3E-3,858.5E-3,834.9E-3,811.7E-3,789.0E-3,766.8E-3,745.3E-3,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000,1.000
