freq,v_out,v_in
1.445E3,3.711E-3,1.000
1.479E3,3.627E-3,1.000
1.514E3,3.544E-3,1.000
1.549E3,3.463E-3,1.000
1.585E3,3.385E-3,1.000
1.622E3,3.307E-3,1.000
1.660E3,3.232E-3,1.000
1.698E3,3.159E-3,1.000
1.738E3,3.087E-3,1.000
1.778E3,3.016E-3,1.000
1.820E3,2.948E-3,1.000
1.862E3,2.881E-3,1.000
1.905E3,2.815E-3,1.000
1.950E3,2.751E-3,1.000
1.995E3,2.688E-3,1.000
2.042E3,2.627E-3,1.000
2.089E3,2.567E-3,1.000
2.138E3,2.509E-3,1.000
2.188E3,2.452E-3,1.000
2.239E3,2.396E-3,1.000
2.291E3,2.342E-3,1.000
2.344E3,2.288E-3,1.000
2.399E3,2.236E-3,1.000
2.455E3,2.185E-3,1.000
2.512E3,2.135E-3,1.000
2.570E3,2.087E-3,1.000
2.630E3,2.039E-3,1.000
2.692E3,1.993E-3,1.000
2.754E3,1.948E-3,1.000
2.818E3,1.903E-3,1.000
2.884E3,1.860E-3,1.000
2.951E3,1.818E-3,1.000
3.020E3,1.776E-3,1.000
3.090E3,1.736E-3,1.000
3.162E3,1.696E-3,1.000
3.236E3,1.658E-3,1.000
3.311E3,1.620E-3,1.000
3.388E3,1.583E-3,1.000
3.467E3,1.547E-3,1.000
3.548E3,1.512E-3,1.000
3.631E3,1.477E-3,1.000
3.715E3,1.444E-3,1.000
3.802E3,1.411E-3,1.000
3.890E3,1.379E-3,1.000
3.981E3,1.347E-3,1.000
4.074E3,1.317E-3,1.000
4.169E3,1.287E-3,1.000
4.266E3,1.257E-3,1.000
4.365E3,1.229E-3,1.000
4.467E3,1.201E-3,1.000
4.571E3,1.174E-3,1.000
4.677E3,1.147E-3,1.000
4.786E3,1.121E-3,1.000
4.898E3,1.095E-3,1.000
5.012E3,1.070E-3,1.000
5.129E3,1.046E-3,1.000
5.248E3,1.022E-3,1.000
5.370E3,998.8E-6,1.000
5.495E3,976.1E-6,1.000
5.623E3,953.9E-6,1.000
5.754E3,932.2E-6,1.000
5.888E3,911.0E-6,1.000
6.026E3,890.2E-6,1.000
6.166E3,870.0E-6,1.000
6.310E3,850.2E-6,1.000
6.457E3,830.8E-6,1.000
6.607E3,811.9E-6,1.000
6.761E3,793.4E-6,1.000
6.918E3,775.3E-6,1.000
7.079E3,757.7E-6,1.000
7.244E3,740.4E-6,1.000
7.413E3,723.6E-6,1.000
7.586E3,707.1E-6,1.000
7.762E3,691.0E-6,1.000
7.943E3,675.3E-6,1.000
8.128E3,659.9E-6,1.000
8.318E3,644.9E-6,1.000
8.511E3,630.2E-6,1.000
8.710E3,615.9E-6,1.000
8.913E3,601.9E-6,1.000
9.120E3,588.2E-6,1.000
9.333E3,574.8E-6,1.000
9.550E3,561.7E-6,1.000
9.772E3,548.9E-6,1.000
10.00E3,536.4E-6,1.000
10.23E3,524.2E-6,1.000
10.47E3,512.3E-6,1.000
10.72E3,500.6E-6,1.000
10.96E3,489.2E-6,1.000
11.22E3,478.1E-6,1.000
11.48E3,467.2E-6,1.000
11.75E3,456.5E-6,1.000
12.02E3,446.2E-6,1.000
12.30E3,436.0E-6,1.000
12.59E3,426.1E-6,1.000
12.88E3,416.4E-6,1.000
13.18E3,406.9E-6,1.000
13.49E3,397.6E-6,1.000
13.80E3,388.6E-6,1.000
14.13E3,379.7E-6,1.000
14.45E3,371.1E-6,1.000
14.79E3,362.6E-6,1.000
15.14E3,354.4E-6,1.000
15.49E3,346.3E-6,1.000
15.85E3,338.4E-6,1.000
16.22E3,330.7E-6,1.000
16.60E3,323.2E-6,1.000
16.98E3,315.8E-6,1.000
17.38E3,308.7E-6,1.000
17.78E3,301.6E-6,1.000
18.20E3,294.8E-6,1.000
18.62E3,288.1E-6,1.000
19.05E3,281.5E-6,1.000
19.50E3,275.1E-6,1.000
19.95E3,268.8E-6,1.000
20.42E3,262.7E-6,1.000
20.89E3,256.7E-6,1.000
21.38E3,250.9E-6,1.000
21.88E3,245.2E-6,1.000
22.39E3,239.6E-6,1.000
22.91E3,234.1E-6,1.000
23.44E3,228.8E-6,1.000
23.99E3,223.6E-6,1.000
24.55E3,218.5E-6,1.000
25.12E3,213.5E-6,1.000
25.70E3,208.7E-6,1.000
26.30E3,203.9E-6,1.000
26.92E3,199.3E-6,1.000
27.54E3,194.7E-6,1.000
28.18E3,190.3E-6,1.000
28.84E3,186.0E-6,1.000
29.51E3,181.7E-6,1.000
30.20E3,177.6E-6,1.000
30.90E3,173.5E-6,1.000
31.62E3,169.6E-6,1.000
32.36E3,165.7E-6,1.000
33.11E3,162.0E-6,1.000
33.88E3,158.3E-6,1.000
34.67E3,154.7E-6,1.000
35.48E3,151.1E-6,1.000
36.31E3,147.7E-6,1.000
37.15E3,144.3E-6,1.000
38.02E3,141.0E-6,1.000
38.90E3,137.8E-6,1.000
39.81E3,134.7E-6,1.000
40.74E3,131.6E-6,1.000
41.69E3,128.6E-6,1.000
42.66E3,125.7E-6,1.000
43.65E3,122.8E-6,1.000
44.67E3,120.0E-6,1.000
45.71E3,117.3E-6,1.000
46.77E3,114.6E-6,1.000
47.86E3,112.0E-6,1.000
48.98E3,109.5E-6,1.000
50.12E3,107.0E-6,1.000
51.29E3,104.5E-6,1.000
52.48E3,102.2E-6,1.000
53.70E3,99.83E-6,1.000
54.95E3,97.55E-6,1.000
56.23E3,95.33E-6,1.000
57.54E3,93.15E-6,1.000
58.88E3,91.03E-6,1.000
60.26E3,88.96E-6,1.000
61.66E3,86.93E-6,1.000
63.10E3,84.95E-6,1.000
64.57E3,83.01E-6,1.000
66.07E3,81.12E-6,1.000
67.61E3,79.27E-6,1.000
69.18E3,77.46E-6,1.000
70.79E3,75.69E-6,1.000
72.44E3,73.97E-6,1.000
74.13E3,72.28E-6,1.000
75.86E3,70.63E-6,1.000
77.62E3,69.02E-6,1.000
79.43E3,67.44E-6,1.000
81.28E3,65.90E-6,1.000
83.18E3,64.40E-6,1.000
85.11E3,62.93E-6,1.000
87.10E3,61.49E-6,1.000
89.13E3,60.09E-6,1.000
91.20E3,58.72E-6,1.000
93.33E3,57.38E-6,1.000
95.50E3,56.07E-6,1.000
97.72E3,54.78E-6,1.000
100.0E3,53.53E-6,1.000
102.3E3,52.31E-6,1.000
104.7E3,51.11E-6,1.000
107.2E3,49.94E-6,1.000
109.6E3,48.80E-6,1.000
112.2E3,47.69E-6,1.000
114.8E3,46.60E-6,1.000
117.5E3,45.53E-6,1.000
120.2E3,44.49E-6,1.000
123.0E3,43.47E-6,1.000
125.9E3,42.47E-6,1.000
128.8E3,41.50E-6,1.000
131.8E3,40.55E-6,1.000
134.9E3,39.62E-6,1.000
138.0E3,38.71E-6,1.000
141.3E3,37.82E-6,1.000
144.5E3,36.96E-6,1.000
147.9E3,36.11E-6,1.000
151.4E3,35.28E-6,1.000
154.9E3,34.47E-6,1.000
158.5E3,33.68E-6,1.000
162.2E3,32.90E-6,1.000
166.0E3,32.14E-6,1.000
169.8E3,31.41E-6,1.000
173.8E3,30.68E-6,1.000
177.8E3,29.98E-6,1.000
182.0E3,29.28E-6,1.000
186.2E3,28.61E-6,1.000
190.5E3,27.95E-6,1.000
195.0E3,27.30E-6,1.000
199.5E3,26.67E-6,1.000
204.2E3,26.06E-6,1.000
208.9E3,25.45E-6,1.000
213.8E3,24.87E-6,1.000
218.8E3,24.29E-6,1.000
223.9E3,23.73E-6,1.000
229.1E3,23.18E-6,1.000
234.4E3,22.64E-6,1.000
239.9E3,22.11E-6,1.000
245.5E3,21.60E-6,1.000
251.2E3,21.10E-6,1.000
257.0E3,20.60E-6,1.000
263.0E3,20.12E-6,1.000
269.2E3,19.66E-6,1.000
275.4E3,19.20E-6,1.000
281.8E3,18.75E-6,1.000
288.4E3,18.31E-6,1.000
295.1E3,17.88E-6,1.000
302.0E3,17.46E-6,1.000
309.0E3,17.05E-6,1.000
316.2E3,16.65E-6,1.000
323.6E3,16.26E-6,1.000
331.1E3,15.87E-6,1.000
338.8E3,15.50E-6,1.000
346.7E3,15.13E-6,1.000
354.8E3,14.77E-6,1.000
363.1E3,14.42E-6,1.000
371.5E3,14.08E-6,1.000
380.2E3,13.75E-6,1.000
389.0E3,13.42E-6,1.000
398.1E3,13.10E-6,1.000
407.4E3,12.79E-6,1.000
416.9E3,12.48E-6,1.000
426.6E3,12.18E-6,1.000
436.5E3,11.89E-6,1.000
446.7E3,11.61E-6,1.000
457.1E3,11.33E-6,1.000
467.7E3,11.05E-6,1.000
478.6E3,10.79E-6,1.000
489.8E3,10.53E-6,1.000
501.2E3,10.27E-6,1.000
512.9E3,10.02E-6,1.000
524.8E3,9.780E-6,1.000
537.0E3,9.543E-6,1.000
549.5E3,9.310E-6,1.000
562.3E3,9.084E-6,1.000
575.4E3,8.862E-6,1.000
588.8E3,8.645E-6,1.000
602.6E3,8.434E-6,1.000
616.6E3,8.228E-6,1.000
631.0E3,8.026E-6,1.000
645.7E3,7.829E-6,1.000
660.7E3,7.637E-6,1.000
676.1E3,7.449E-6,1.000
691.8E3,7.266E-6,1.000
707.9E3,7.088E-6,1.000
724.4E3,6.914E-6,1.000
741.3E3,6.744E-6,1.000
758.6E3,6.578E-6,1.000
776.2E3,6.416E-6,1.000
794.3E3,6.259E-6,1.000
812.8E3,6.105E-6,1.000
831.8E3,5.956E-6,1.000
851.1E3,5.810E-6,1.000
871.0E3,5.668E-6,1.000
891.3E3,5.530E-6,1.000
912.0E3,5.395E-6,1.000
933.3E3,5.264E-6,1.000
955.0E3,5.137E-6,1.000
977.2E3,5.013E-6,1.000
1.000E6,4.892E-6,1.000
1.023E6,4.775E-6,1.000
1.047E6,4.661E-6,1.000
1.072E6,4.551E-6,1.000
1.096E6,4.443E-6,1.000
1.122E6,4.339E-6,1.000
1.148E6,4.238E-6,1.000
1.175E6,4.140E-6,1.000
1.202E6,4.045E-6,1.000
