time (s),rds
3.183,-71.89E9
3.193,-73.43E9
3.203,-75.00E9
3.212,-76.59E9
3.222,-78.21E9
3.232,-79.85E9
3.242,-81.52E9
3.253,-83.21E9
3.263,-84.92E9
3.273,-86.65E9
3.284,-88.40E9
3.295,-90.17E9
3.305,-91.96E9
3.316,-93.76E9
3.327,-95.57E9
3.338,-97.40E9
3.349,-99.22E9
3.361,-101.1E9
3.372,-102.9E9
3.383,-104.7E9
3.395,-106.5E9
3.407,-108.3E9
3.419,-110.1E9
3.431,-111.8E9
3.443,-113.5E9
3.455,-115.1E9
3.467,-116.7E9
3.480,-118.2E9
3.492,-119.6E9
3.505,-120.9E9
3.518,-122.0E9
3.530,-123.0E9
3.543,-123.7E9
3.557,-124.2E9
3.570,-124.4E9
3.583,-124.1E9
3.597,-123.4E9
3.610,-122.0E9
3.624,-119.8E9
3.638,-116.6E9
3.652,-112.2E9
3.665,-106.3E9
3.679,-98.65E9
3.693,-89.38E9
3.706,-78.77E9
3.720,-67.56E9
3.733,-56.75E9
3.745,-47.27E9
3.757,-39.66E9
3.768,-34.00E9
3.779,-30.06E9
3.789,-27.49E9
3.799,-26.00E9
3.808,-25.34E9
3.817,-25.38E9
3.827,-26.06E9
3.836,-27.35E9
3.845,-29.30E9
3.855,-32.03E9
3.865,-35.70E9
3.875,-40.61E9
3.886,-47.18E9
3.897,-56.07E9
3.910,-68.32E9
3.924,-85.64E9
3.939,-111.0E9
3.955,-149.5E9
3.974,-211.3E9
3.996,-317.5E9
4.000,-443.8E9
4.000,36.60E-3
4.000,-46.87
4.000,-70.93
4.000,-71.65
4.000,-73.17
4.000,-76.74
4.000,-84.41
4.000,-99.34
4.000,-123.6
4.000,-153.6
4.000,-190.6
4.000,-188.8
4.000,-44.97E-3
4.000,-759.0
4.000,-908.6E3
4.000,-1.337E6
4.000,-1.511E6
4.000,-1.916E6
4.000,-3.015E6
4.000,-6.739E6
4.000,-25.93E6
4.000,-260.5E9
4.000,185.4E6
4.000,454.8E6
4.000,5.584E9
4.000,-13.61E9
4.000,-47.27E9
4.000,-89.48E9
4.000,-87.52E9
4.000,-87.01E9
4.000,-87.02E9
4.000,-87.04E9
4.001,-87.08E9
4.001,-87.17E9
4.002,-87.34E9
4.004,-87.67E9
4.009,-88.34E9
4.017,-89.70E9
4.027,-91.64E9
4.037,-93.77E9
4.047,-96.09E9
4.059,-98.58E9
4.070,-101.2E9
4.082,-103.9E9
4.094,-106.8E9
4.106,-109.7E9
4.118,-112.7E9
4.130,-115.9E9
4.143,-119.1E9
4.155,-122.5E9
4.168,-125.9E9
4.181,-129.5E9
4.194,-133.2E9
4.208,-137.1E9
4.221,-141.1E9
4.235,-145.2E9
4.249,-149.5E9
4.263,-154.0E9
4.277,-158.6E9
4.291,-163.4E9
4.306,-168.4E9
4.321,-173.6E9
4.336,-179.0E9
4.351,-184.6E9
4.366,-190.4E9
4.382,-196.5E9
4.398,-202.8E9
4.414,-209.4E9
4.431,-216.3E9
4.447,-223.5E9
4.464,-231.0E9
4.481,-238.9E9
4.499,-247.1E9
4.517,-255.7E9
4.535,-264.7E9
4.553,-274.2E9
4.572,-284.1E9
4.591,-294.6E9
4.610,-305.6E9
4.630,-317.3E9
4.650,-329.5E9
4.671,-342.5E9
4.692,-356.3E9
4.714,-370.9E9
4.736,-386.3E9
4.758,-402.7E9
4.781,-420.2E9
4.805,-438.8E9
4.829,-458.6E9
4.854,-479.8E9
4.879,-502.5E9
4.905,-526.8E9
4.932,-552.8E9
4.959,-580.8E9
4.987,-610.9E9
5.000,-634.7E9
5.000,-41.04E-3
5.000,-80.47
5.000,-120.4
5.000,-119.3
5.000,-117.1
5.000,-112.9
5.000,-104.6
5.000,-89.19
5.000,-40.41
5.000,-4.210
5.000,-801.5E-3
5.000,-254.2E-3
5.000,-95.34E-3
5.000,-41.42E-3
5.000,-25.20E-3
5.000,-18.75E-3
5.000,-15.72E-3
5.000,-14.52E-3
5.000,-14.71E-3
5.000,-16.34E-3
5.000,-18.59E-3
5.000,-20.70E-3
5.000,5.218E-3
5.000,6.553E-3
5.000,6.935E-3
5.000,7.625E-3
5.000,9.099E-3
5.000,11.72E-3
5.000,15.36E-3
5.000,19.86E-3
5.000,25.53E-3
5.000,32.71E-3
5.000,41.86E-3
5.000,53.62E-3
5.000,68.75E-3
5.000,88.25E-3
5.000,113.4E-3
5.000,145.8E-3
5.000,187.6E-3
5.000,241.7E-3
5.000,311.5E-3
5.000,401.7E-3
5.000,513.7E-3
5.000,644.9E-3
5.000,797.7E-3
5.000,977.3E-3
5.000,1.190
5.000,1.446
5.000,1.756
5.000,2.136
5.000,2.605
5.000,3.190
5.000,3.926
5.000,4.861
5.000,6.059
5.000,7.603
5.000,9.602
5.000,12.19
5.000,15.56
5.000,19.92
5.000,25.58
5.000,32.92
5.000,42.45
5.000,54.85
5.000,70.97
5.000,91.97
5.000,119.4
5.000,155.1
5.000,201.7
5.000,262.6
5.000,342.1
5.000,446.2
5.000,582.3
5.000,760.5
5.000,993.8
5.000,1.299E3
5.000,1.700E3
5.000,2.225E3
5.000,2.914E3
5.000,3.818E3
5.000,5.004E3
5.000,6.561E3
5.000,8.606E3
5.000,11.29E3
5.000,14.82E3
5.000,19.46E3
5.000,25.56E3
5.000,33.58E3
5.000,44.13E3
5.000,58.01E3
5.000,76.28E3
5.000,100.3E3
5.000,132.0E3
5.000,173.7E3
5.000,228.6E3
5.000,301.0E3
5.000,396.4E3
5.000,522.1E3
5.001,687.9E3
5.001,906.5E3
5.001,1.195E6
5.001,1.575E6
5.001,2.077E6
5.001,2.740E6
5.001,3.614E6
5.001,4.769E6
5.002,6.294E6
5.002,8.309E6
5.002,10.97E6
5.002,14.49E6
5.003,19.13E6
5.003,25.27E6
5.004,33.38E6
5.004,44.10E6
5.005,58.26E6
5.006,76.95E6
5.007,101.6E6
5.007,134.2E6
5.009,177.1E6
5.010,233.7E6
5.011,308.1E6
5.013,406.1E6
5.015,535.0E6
5.017,704.8E6
5.020,928.9E6
5.023,1.226E9
5.026,1.620E9
5.030,2.147E9
5.034,2.856E9
5.039,3.816E9
5.045,5.127E9
5.052,6.934E9
5.059,9.452E9
5.065,12.49E9
5.075,16.47E9
5.083,22.22E9
5.091,28.59E9
5.100,36.70E9
5.110,47.90E9
5.122,63.50E9
5.135,86.00E9
5.150,120.0E9
5.167,174.0E9
5.188,265.7E9
5.213,435.6E9
5.243,790.8E9
5.282,1.680E12
5.334,4.701E12
5.404,25.97E12
5.474,-69.17E12
5.544,-62.20E12
5.614,-117.4E12
5.684,-325.9E12
5.754,-1.562E15
5.824,11.61E15
5.894,5.970E15
5.964,10.07E15
6.000,21.00E15
6.000,-36.60E-3
6.000,-45.49
6.000,-67.70
6.000,-67.03
6.000,-65.11
6.000,-54.77
6.000,-11.36
6.000,-2.278
6.000,-552.7E-3
6.000,-174.0E-3
6.000,-75.29E-3
6.000,-37.10E-3
6.000,-23.72E-3
6.000,-18.10E-3
6.000,-15.44E-3
6.000,-14.45E-3
6.000,-14.89E-3
6.000,-17.33E-3
6.000,-22.88E-3
6.000,-32.51E-3
6.000,-47.00E-3
6.000,-69.60E-3
6.000,-107.2E-3
6.000,-174.6E-3
6.000,-308.1E-3
6.000,-604.7E-3
6.000,-1.334
6.000,-3.258
6.000,-9.075
6.000,-30.86
6.000,-144.8
6.000,-752.6
6.000,-1.051E3
6.000,-673.1
6.000,-497.3
6.000,3.532E-3
6.000,4.228E-3
6.000,4.586E-3
6.000,5.268E-3
6.000,6.761E-3
6.000,9.087E-3
6.000,11.79E-3
6.000,15.13E-3
6.000,19.35E-3
6.000,24.69E-3
6.000,31.55E-3
6.000,40.38E-3
6.000,51.75E-3
6.000,66.38E-3
6.000,85.21E-3
6.000,109.5E-3
6.000,140.7E-3
6.000,179.5E-3
6.000,224.8E-3
6.000,276.6E-3
6.000,335.9E-3
6.000,404.2E-3
6.000,483.2E-3
6.000,575.0E-3
6.000,682.2E-3
6.000,807.8E-3
6.000,955.8E-3
6.000,1.131
6.000,1.340
6.000,1.591
6.000,1.895
6.000,2.267
6.000,2.727
6.000,3.302
6.000,4.028
6.000,4.955
6.000,6.150
6.000,7.699
6.000,9.714
6.000,12.34
6.000,15.75
6.000,20.17
6.000,25.91
6.000,33.35
6.000,43.01
6.000,55.57
6.000,71.91
6.000,93.20
6.000,120.9
6.000,157.1
6.000,204.4
6.000,266.1
6.000,346.8
6.000,452.2
6.000,590.2
6.000,770.9
6.000,1.007E3
6.000,1.317E3
6.000,1.723E3
6.000,2.256E3
6.000,2.954E3
6.000,3.871E3
6.000,5.073E3
6.000,6.652E3
6.000,8.725E3
6.000,11.45E3
6.000,15.03E3
6.000,19.73E3
6.000,25.92E3
6.000,34.05E3
6.000,44.75E3
6.000,58.83E3
6.000,77.35E3
6.000,101.7E3
6.000,133.8E3
6.000,176.1E3
6.000,231.8E3
6.000,305.2E3
6.000,402.0E3
6.000,529.5E3
6.001,697.6E3
6.001,919.3E3
6.001,1.212E6
6.001,1.598E6
6.001,2.107E6
6.001,2.779E6
6.001,3.666E6
6.001,4.838E6
6.002,6.386E6
6.002,8.431E6
6.002,11.13E6
6.003,14.70E6
6.003,19.43E6
6.003,25.67E6
6.004,33.93E6
6.004,44.86E6
6.005,59.33E6
6.006,78.50E6
6.007,103.9E6
6.008,137.6E6
6.009,182.3E6
6.010,241.9E6
6.011,321.4E6
6.013,427.8E6
6.015,571.0E6
6.017,765.1E6
6.020,1.031E9
6.023,1.398E9
6.026,1.916E9
6.030,2.658E9
6.035,3.751E9
6.040,5.412E9
6.046,8.040E9
6.053,12.41E9
6.061,20.17E9
6.068,33.95E9
6.077,57.80E9
6.088,107.9E9
6.102,239.3E9
6.122,723.6E9
6.148,5.469E12
6.185,-9.311E12
6.241,-14.33E12
6.311,-65.98E12
6.381,731.6E12
6.451,546.9E12
6.521,1.871E15
6.591,36.09E15
6.661,-26.30E15
6.731,-61.99E15
6.801,-420.7E15
6.871,1.684E18
6.941,2.346E18
7.000,9.126E18
