freq,v_in,v_out
48.98,1.000,91.37E-3
50.12,1.000,89.31E-3
51.29,1.000,87.30E-3
52.48,1.000,85.33E-3
53.70,1.000,83.40E-3
54.95,1.000,81.52E-3
56.23,1.000,79.68E-3
57.54,1.000,77.87E-3
58.88,1.000,76.11E-3
60.26,1.000,74.39E-3
61.66,1.000,72.71E-3
63.10,1.000,71.06E-3
64.57,1.000,69.46E-3
66.07,1.000,67.88E-3
67.61,1.000,66.35E-3
69.18,1.000,64.84E-3
70.79,1.000,63.37E-3
72.44,1.000,61.94E-3
74.13,1.000,60.53E-3
75.86,1.000,59.16E-3
77.62,1.000,57.82E-3
79.43,1.000,56.51E-3
81.28,1.000,55.23E-3
83.18,1.000,53.98E-3
85.11,1.000,52.75E-3
87.10,1.000,51.55E-3
89.13,1.000,50.38E-3
91.20,1.000,49.24E-3
93.33,1.000,48.12E-3
95.50,1.000,47.03E-3
97.72,1.000,45.96E-3
100.0,1.000,44.92E-3
102.3,1.000,43.90E-3
104.7,1.000,42.90E-3
107.2,1.000,41.93E-3
109.6,1.000,40.97E-3
112.2,1.000,40.04E-3
114.8,1.000,39.13E-3
117.5,1.000,38.24E-3
120.2,1.000,37.37E-3
123.0,1.000,36.53E-3
125.9,1.000,35.70E-3
128.8,1.000,34.88E-3
131.8,1.000,34.09E-3
134.9,1.000,33.32E-3
138.0,1.000,32.56E-3
141.3,1.000,31.82E-3
144.5,1.000,31.09E-3
147.9,1.000,30.39E-3
151.4,1.000,29.70E-3
154.9,1.000,29.02E-3
158.5,1.000,28.36E-3
162.2,1.000,27.72E-3
166.0,1.000,27.09E-3
169.8,1.000,26.47E-3
173.8,1.000,25.87E-3
177.8,1.000,25.28E-3
182.0,1.000,24.70E-3
186.2,1.000,24.14E-3
190.5,1.000,23.59E-3
195.0,1.000,23.06E-3
199.5,1.000,22.53E-3
204.2,1.000,22.02E-3
208.9,1.000,21.52E-3
213.8,1.000,21.03E-3
218.8,1.000,20.55E-3
223.9,1.000,20.08E-3
229.1,1.000,19.63E-3
234.4,1.000,19.18E-3
239.9,1.000,18.74E-3
245.5,1.000,18.32E-3
251.2,1.000,17.90E-3
257.0,1.000,17.49E-3
263.0,1.000,17.09E-3
269.2,1.000,16.71E-3
275.4,1.000,16.33E-3
281.8,1.000,15.95E-3
288.4,1.000,15.59E-3
295.1,1.000,15.24E-3
302.0,1.000,14.89E-3
309.0,1.000,14.55E-3
316.2,1.000,14.22E-3
323.6,1.000,13.90E-3
331.1,1.000,13.58E-3
338.8,1.000,13.27E-3
346.7,1.000,12.97E-3
354.8,1.000,12.67E-3
363.1,1.000,12.38E-3
371.5,1.000,12.10E-3
380.2,1.000,11.83E-3
389.0,1.000,11.56E-3
398.1,1.000,11.30E-3
407.4,1.000,11.04E-3
