freq,v_out1,v_out2,v_out3,v_in
46.77,53.32E-3,26.28E-3,11.12E-3,1.000
47.86,52.11E-3,25.68E-3,10.87E-3,1.000
48.98,50.93E-3,25.10E-3,10.62E-3,1.000
50.12,49.77E-3,24.52E-3,10.38E-3,1.000
51.29,48.64E-3,23.97E-3,10.14E-3,1.000
52.48,47.54E-3,23.42E-3,9.911E-3,1.000
53.70,46.46E-3,22.89E-3,9.686E-3,1.000
54.95,45.40E-3,22.37E-3,9.465E-3,1.000
56.23,44.37E-3,21.86E-3,9.250E-3,1.000
57.54,43.36E-3,21.36E-3,9.039E-3,1.000
58.88,42.38E-3,20.88E-3,8.834E-3,1.000
60.26,41.42E-3,20.40E-3,8.632E-3,1.000
61.66,40.48E-3,19.94E-3,8.436E-3,1.000
63.10,39.56E-3,19.48E-3,8.244E-3,1.000
64.57,38.66E-3,19.04E-3,8.056E-3,1.000
66.07,37.78E-3,18.61E-3,7.873E-3,1.000
67.61,36.92E-3,18.18E-3,7.694E-3,1.000
69.18,36.08E-3,17.77E-3,7.519E-3,1.000
70.79,35.26E-3,17.37E-3,7.348E-3,1.000
72.44,34.46E-3,16.97E-3,7.180E-3,1.000
74.13,33.68E-3,16.58E-3,7.017E-3,1.000
75.86,32.91E-3,16.21E-3,6.857E-3,1.000
77.62,32.16E-3,15.84E-3,6.701E-3,1.000
79.43,31.43E-3,15.48E-3,6.549E-3,1.000
81.28,30.72E-3,15.13E-3,6.399E-3,1.000
83.18,30.02E-3,14.78E-3,6.254E-3,1.000
85.11,29.33E-3,14.44E-3,6.111E-3,1.000
87.10,28.67E-3,14.12E-3,5.972E-3,1.000
89.13,28.02E-3,13.79E-3,5.836E-3,1.000
91.20,27.38E-3,13.48E-3,5.704E-3,1.000
93.33,26.76E-3,13.17E-3,5.574E-3,1.000
95.50,26.15E-3,12.87E-3,5.447E-3,1.000
97.72,25.55E-3,12.58E-3,5.323E-3,1.000
100.0,24.97E-3,12.29E-3,5.202E-3,1.000
102.3,24.40E-3,12.01E-3,5.083E-3,1.000
104.7,23.85E-3,11.74E-3,4.968E-3,1.000
107.2,23.31E-3,11.47E-3,4.855E-3,1.000
109.6,22.78E-3,11.21E-3,4.744E-3,1.000
112.2,22.26E-3,10.96E-3,4.636E-3,1.000
114.8,21.75E-3,10.71E-3,4.531E-3,1.000
117.5,21.26E-3,10.46E-3,4.427E-3,1.000
