time,v_out,v_in
4.221,68.01E-3,1.800
4.240,67.61E-3,1.800
4.263,67.37E-3,1.800
4.290,67.25E-3,1.800
4.323,67.20E-3,1.800
4.367,67.19E-3,1.800
4.426,67.20E-3,1.800
4.496,67.20E-3,1.800
4.566,67.21E-3,1.800
4.636,67.21E-3,1.800
4.706,67.21E-3,1.800
4.776,67.21E-3,1.800
4.846,67.21E-3,1.800
4.916,67.21E-3,1.800
4.986,67.21E-3,1.800
5.000,67.21E-3,1.800
5.000,67.21E-3,1.798
5.000,67.21E-3,1.795
5.000,67.21E-3,1.789
5.000,67.21E-3,1.777
5.000,67.21E-3,1.753
5.000,67.21E-3,1.705
5.000,67.21E-3,1.608
5.000,67.21E-3,1.415
5.000,67.21E-3,1.158
5.000,67.22E-3,900.0E-3
5.000,67.22E-3,900.0E-3
5.000,67.22E-3,900.0E-3
5.000,67.22E-3,900.0E-3
5.000,67.22E-3,900.0E-3
5.000,67.22E-3,900.0E-3
5.000,67.22E-3,900.0E-3
5.000,67.22E-3,900.0E-3
5.000,67.23E-3,900.0E-3
5.000,67.24E-3,900.0E-3
5.000,67.26E-3,900.0E-3
5.000,67.30E-3,900.0E-3
5.000,67.39E-3,900.0E-3
5.000,67.57E-3,900.0E-3
5.000,67.91E-3,900.0E-3
5.000,68.61E-3,900.0E-3
5.000,70.01E-3,900.0E-3
5.000,72.79E-3,900.0E-3
5.000,78.32E-3,900.0E-3
5.001,89.28E-3,900.0E-3
5.002,110.8E-3,900.0E-3
5.004,152.0E-3,900.0E-3
5.006,211.5E-3,900.0E-3
5.009,266.7E-3,900.0E-3
5.012,317.7E-3,900.0E-3
5.014,365.4E-3,900.0E-3
5.017,409.6E-3,900.0E-3
5.020,451.1E-3,900.0E-3
5.023,490.1E-3,900.0E-3
5.026,526.8E-3,900.0E-3
5.029,561.1E-3,900.0E-3
5.033,593.3E-3,900.0E-3
5.036,623.3E-3,900.0E-3
5.039,651.3E-3,900.0E-3
5.043,677.3E-3,900.0E-3
5.047,701.3E-3,900.0E-3
5.051,723.6E-3,900.0E-3
5.055,744.0E-3,900.0E-3
5.059,762.8E-3,900.0E-3
5.063,780.0E-3,900.0E-3
5.067,795.7E-3,900.0E-3
5.072,809.9E-3,900.0E-3
5.077,822.7E-3,900.0E-3
5.082,834.3E-3,900.0E-3
5.088,844.6E-3,900.0E-3
5.093,853.7E-3,900.0E-3
5.099,861.8E-3,900.0E-3
5.106,868.9E-3,900.0E-3
5.113,875.0E-3,900.0E-3
5.120,880.3E-3,900.0E-3
5.127,884.8E-3,900.0E-3
5.136,888.6E-3,900.0E-3
5.145,891.7E-3,900.0E-3
5.154,894.3E-3,900.0E-3
5.165,896.3E-3,900.0E-3
5.177,897.9E-3,900.0E-3
5.190,899.1E-3,900.0E-3
5.204,900.0E-3,900.0E-3
5.221,900.6E-3,900.0E-3
5.240,901.0E-3,900.0E-3
5.262,901.3E-3,900.0E-3
5.289,901.4E-3,900.0E-3
5.322,901.4E-3,900.0E-3
5.366,901.4E-3,900.0E-3
5.425,901.4E-3,900.0E-3
5.495,901.4E-3,900.0E-3
5.565,901.4E-3,900.0E-3
5.635,901.4E-3,900.0E-3
5.705,901.4E-3,900.0E-3
5.775,901.4E-3,900.0E-3
5.845,901.4E-3,900.0E-3
5.915,901.4E-3,900.0E-3
5.985,901.4E-3,900.0E-3
6.000,901.4E-3,900.0E-3
6.000,901.4E-3,898.5E-3
6.000,901.4E-3,895.5E-3
6.000,901.4E-3,889.4E-3
6.000,901.4E-3,877.4E-3
6.000,901.4E-3,853.2E-3
6.000,901.4E-3,805.0E-3
6.000,901.4E-3,708.4E-3
6.000,901.4E-3,515.4E-3
6.000,901.4E-3,257.7E-3
6.000,901.4E-3,0.000
6.000,901.4E-3,0.000
6.000,901.4E-3,0.000
6.000,901.4E-3,0.000
6.000,901.4E-3,0.000
6.000,901.4E-3,0.000
6.000,901.4E-3,0.000
6.000,901.4E-3,0.000
6.000,901.4E-3,0.000
6.000,901.4E-3,0.000
6.000,901.5E-3,0.000
6.000,901.5E-3,0.000
6.000,901.6E-3,0.000
6.000,901.8E-3,0.000
6.000,902.1E-3,0.000
6.000,902.8E-3,0.000
6.000,904.2E-3,0.000
6.000,907.0E-3,0.000
6.000,912.5E-3,0.000
6.001,923.5E-3,0.000
6.002,945.0E-3,0.000
6.004,986.3E-3,0.000
6.006,1.046,0.000
6.009,1.101,0.000
6.012,1.152,0.000
6.014,1.200,0.000
6.017,1.244,0.000
6.020,1.285,0.000
6.023,1.324,0.000
6.026,1.361,0.000
6.029,1.395,0.000
6.033,1.428,0.000
6.036,1.458,0.000
6.039,1.486,0.000
6.043,1.511,0.000
6.047,1.536,0.000
6.051,1.558,0.000
6.055,1.578,0.000
6.059,1.597,0.000
6.063,1.614,0.000
6.067,1.630,0.000
6.072,1.644,0.000
6.077,1.657,0.000
6.082,1.668,0.000
6.088,1.679,0.000
6.093,1.688,0.000
6.099,1.696,0.000
6.106,1.703,0.000
6.113,1.709,0.000
6.120,1.715,0.000
6.127,1.719,0.000
6.136,1.723,0.000
6.145,1.726,0.000
6.154,1.729,0.000
6.165,1.731,0.000
6.177,1.732,0.000
6.190,1.733,0.000
6.204,1.734,0.000
6.221,1.735,0.000
6.240,1.735,0.000
6.262,1.735,0.000
6.289,1.736,0.000
6.322,1.736,0.000
6.366,1.736,0.000
6.425,1.736,0.000
6.495,1.736,0.000
6.565,1.736,0.000
6.635,1.736,0.000
6.705,1.736,0.000
6.775,1.736,0.000
6.845,1.736,0.000
6.915,1.736,0.000
6.958,1.736,0.000
7.000,1.736,0.000
