time,v_out,v_in
3.713,900.0E-3,900.0E-3
3.783,900.0E-3,900.0E-3
3.853,900.0E-3,900.0E-3
3.923,900.0E-3,900.0E-3
3.993,900.0E-3,900.0E-3
4.000,900.0E-3,900.0E-3
4.000,900.0E-3,901.5E-3
4.000,900.0E-3,904.5E-3
4.000,900.0E-3,910.6E-3
4.000,900.0E-3,922.6E-3
4.000,900.0E-3,946.8E-3
4.000,900.0E-3,995.0E-3
4.000,900.0E-3,1.092
4.000,900.0E-3,1.285
4.000,900.0E-3,1.542
4.000,900.0E-3,1.800
4.000,900.0E-3,1.800
4.000,900.0E-3,1.800
4.000,900.0E-3,1.800
4.000,900.0E-3,1.800
4.000,900.0E-3,1.800
4.000,900.0E-3,1.800
4.000,900.0E-3,1.800
4.000,900.0E-3,1.800
4.000,900.0E-3,1.800
4.000,899.9E-3,1.800
4.000,899.9E-3,1.800
4.000,899.8E-3,1.800
4.000,899.6E-3,1.800
4.000,899.2E-3,1.800
4.000,898.3E-3,1.800
4.000,896.7E-3,1.800
4.000,893.3E-3,1.800
4.000,886.7E-3,1.800
4.001,873.7E-3,1.800
4.002,848.1E-3,1.800
4.004,799.3E-3,1.800
4.006,738.5E-3,1.800
4.008,682.2E-3,1.800
4.011,629.9E-3,1.800
4.013,581.0E-3,1.800
4.015,535.6E-3,1.800
4.018,492.9E-3,1.800
4.021,452.7E-3,1.800
4.023,414.9E-3,1.800
4.026,379.5E-3,1.800
4.029,346.3E-3,1.800
4.032,315.3E-3,1.800
4.035,286.4E-3,1.800
4.038,259.6E-3,1.800
4.041,234.7E-3,1.800
4.044,211.7E-3,1.800
4.048,190.5E-3,1.800
4.052,171.0E-3,1.800
4.055,153.2E-3,1.800
4.059,136.9E-3,1.800
4.063,122.1E-3,1.800
4.068,108.8E-3,1.800
4.072,96.79E-3,1.800
4.077,86.05E-3,1.800
4.082,76.49E-3,1.800
4.087,68.05E-3,1.800
4.092,60.64E-3,1.800
4.098,54.20E-3,1.800
4.105,48.65E-3,1.800
4.111,43.91E-3,1.800
4.118,39.92E-3,1.800
4.126,36.61E-3,1.800
4.135,33.90E-3,1.800
4.144,31.72E-3,1.800
4.154,30.02E-3,1.800
4.165,28.73E-3,1.800
4.178,27.77E-3,1.800
4.192,27.10E-3,1.800
4.208,26.66E-3,1.800
4.227,26.39E-3,1.800
4.250,26.24E-3,1.800
4.278,26.18E-3,1.800
4.314,26.16E-3,1.800
4.363,26.17E-3,1.800
4.433,26.18E-3,1.800
4.503,26.18E-3,1.800
4.573,26.18E-3,1.800
4.643,26.18E-3,1.800
4.713,26.18E-3,1.800
4.783,26.18E-3,1.800
4.853,26.18E-3,1.800
4.923,26.18E-3,1.800
4.993,26.18E-3,1.800
5.000,26.18E-3,1.800
5.000,26.18E-3,1.798
5.000,26.18E-3,1.795
5.000,26.18E-3,1.789
5.000,26.18E-3,1.777
5.000,26.18E-3,1.753
5.000,26.18E-3,1.705
5.000,26.18E-3,1.608
5.000,26.18E-3,1.415
5.000,26.19E-3,1.158
5.000,26.19E-3,900.0E-3
5.000,26.19E-3,900.0E-3
5.000,26.19E-3,900.0E-3
5.000,26.19E-3,900.0E-3
5.000,26.19E-3,900.0E-3
5.000,26.19E-3,900.0E-3
5.000,26.20E-3,900.0E-3
5.000,26.20E-3,900.0E-3
5.000,26.20E-3,900.0E-3
5.000,26.22E-3,900.0E-3
5.000,26.24E-3,900.0E-3
5.000,26.30E-3,900.0E-3
5.000,26.40E-3,900.0E-3
5.000,26.61E-3,900.0E-3
5.000,27.02E-3,900.0E-3
5.000,27.85E-3,900.0E-3
5.000,29.51E-3,900.0E-3
5.000,32.82E-3,900.0E-3
5.000,39.40E-3,900.0E-3
5.001,52.41E-3,900.0E-3
5.002,77.84E-3,900.0E-3
5.004,126.5E-3,900.0E-3
5.006,187.7E-3,900.0E-3
5.008,244.2E-3,900.0E-3
5.011,296.8E-3,900.0E-3
5.013,345.8E-3,900.0E-3
5.016,391.4E-3,900.0E-3
5.018,434.2E-3,900.0E-3
5.021,474.5E-3,900.0E-3
5.023,512.3E-3,900.0E-3
5.026,547.8E-3,900.0E-3
5.029,581.0E-3,900.0E-3
5.032,612.0E-3,900.0E-3
5.035,640.8E-3,900.0E-3
5.038,667.7E-3,900.0E-3
5.041,692.5E-3,900.0E-3
5.045,715.5E-3,900.0E-3
5.048,736.6E-3,900.0E-3
5.052,756.0E-3,900.0E-3
5.056,773.8E-3,900.0E-3
5.060,790.0E-3,900.0E-3
5.064,804.7E-3,900.0E-3
5.068,818.0E-3,900.0E-3
5.072,830.0E-3,900.0E-3
5.077,840.7E-3,900.0E-3
5.082,850.2E-3,900.0E-3
5.087,858.5E-3,900.0E-3
5.093,865.9E-3,900.0E-3
5.099,872.3E-3,900.0E-3
5.105,877.8E-3,900.0E-3
5.112,882.5E-3,900.0E-3
5.119,886.5E-3,900.0E-3
5.127,889.7E-3,900.0E-3
5.135,892.4E-3,900.0E-3
