freq,v_in,v_out
123.0,1.000,2.932E-3
125.9,1.000,2.907E-3
128.8,1.000,2.883E-3
131.8,1.000,2.859E-3
134.9,1.000,2.837E-3
138.0,1.000,2.815E-3
141.3,1.000,2.795E-3
144.5,1.000,2.775E-3
147.9,1.000,2.755E-3
151.4,1.000,2.737E-3
154.9,1.000,2.719E-3
158.5,1.000,2.702E-3
162.2,1.000,2.686E-3
166.0,1.000,2.670E-3
169.8,1.000,2.655E-3
173.8,1.000,2.640E-3
177.8,1.000,2.626E-3
182.0,1.000,2.613E-3
186.2,1.000,2.600E-3
190.5,1.000,2.588E-3
195.0,1.000,2.576E-3
199.5,1.000,2.565E-3
204.2,1.000,2.554E-3
208.9,1.000,2.543E-3
213.8,1.000,2.533E-3
218.8,1.000,2.524E-3
223.9,1.000,2.515E-3
229.1,1.000,2.506E-3
234.4,1.000,2.497E-3
239.9,1.000,2.489E-3
245.5,1.000,2.482E-3
251.2,1.000,2.474E-3
257.0,1.000,2.467E-3
263.0,1.000,2.460E-3
269.2,1.000,2.454E-3
275.4,1.000,2.447E-3
281.8,1.000,2.441E-3
288.4,1.000,2.436E-3
295.1,1.000,2.430E-3
302.0,1.000,2.425E-3
309.0,1.000,2.420E-3
316.2,1.000,2.415E-3
323.6,1.000,2.411E-3
331.1,1.000,2.406E-3
338.8,1.000,2.402E-3
346.7,1.000,2.398E-3
354.8,1.000,2.394E-3
363.1,1.000,2.390E-3
371.5,1.000,2.387E-3
380.2,1.000,2.384E-3
389.0,1.000,2.380E-3
398.1,1.000,2.377E-3
407.4,1.000,2.374E-3
416.9,1.000,2.372E-3
426.6,1.000,2.369E-3
436.5,1.000,2.366E-3
446.7,1.000,2.364E-3
457.1,1.000,2.361E-3
467.7,1.000,2.359E-3
478.6,1.000,2.357E-3
489.8,1.000,2.355E-3
501.2,1.000,2.353E-3
512.9,1.000,2.351E-3
524.8,1.000,2.349E-3
537.0,1.000,2.348E-3
549.5,1.000,2.346E-3
562.3,1.000,2.344E-3
575.4,1.000,2.343E-3
588.8,1.000,2.342E-3
602.6,1.000,2.340E-3
616.6,1.000,2.339E-3
631.0,1.000,2.338E-3
645.7,1.000,2.336E-3
660.7,1.000,2.335E-3
676.1,1.000,2.334E-3
691.8,1.000,2.333E-3
707.9,1.000,2.332E-3
724.4,1.000,2.331E-3
741.3,1.000,2.330E-3
758.6,1.000,2.329E-3
776.2,1.000,2.329E-3
794.3,1.000,2.328E-3
812.8,1.000,2.327E-3
831.8,1.000,2.326E-3
851.1,1.000,2.326E-3
871.0,1.000,2.325E-3
891.3,1.000,2.324E-3
912.0,1.000,2.324E-3
933.3,1.000,2.323E-3
955.0,1.000,2.323E-3
977.2,1.000,2.322E-3
1.000E3,1.000,2.322E-3
1.023E3,1.000,2.321E-3
1.047E3,1.000,2.321E-3
1.072E3,1.000,2.320E-3
1.096E3,1.000,2.320E-3
1.122E3,1.000,2.319E-3
1.148E3,1.000,2.319E-3
1.175E3,1.000,2.319E-3
1.202E3,1.000,2.318E-3
1.230E3,1.000,2.318E-3
1.259E3,1.000,2.318E-3
1.288E3,1.000,2.317E-3
1.318E3,1.000,2.317E-3
1.349E3,1.000,2.317E-3
1.380E3,1.000,2.317E-3
1.413E3,1.000,2.316E-3
1.445E3,1.000,2.316E-3
1.479E3,1.000,2.316E-3
1.514E3,1.000,2.316E-3
1.549E3,1.000,2.315E-3
1.585E3,1.000,2.315E-3
1.622E3,1.000,2.315E-3
1.660E3,1.000,2.315E-3
1.698E3,1.000,2.315E-3
1.738E3,1.000,2.315E-3
1.778E3,1.000,2.314E-3
1.820E3,1.000,2.314E-3
1.862E3,1.000,2.314E-3
1.905E3,1.000,2.314E-3
1.950E3,1.000,2.314E-3
1.995E3,1.000,2.314E-3
2.042E3,1.000,2.314E-3
2.089E3,1.000,2.313E-3
2.138E3,1.000,2.313E-3
2.188E3,1.000,2.313E-3
2.239E3,1.000,2.313E-3
2.291E3,1.000,2.313E-3
2.344E3,1.000,2.313E-3
2.399E3,1.000,2.313E-3
2.455E3,1.000,2.313E-3
2.512E3,1.000,2.313E-3
2.570E3,1.000,2.313E-3
2.630E3,1.000,2.313E-3
2.692E3,1.000,2.312E-3
2.754E3,1.000,2.312E-3
2.818E3,1.000,2.312E-3
2.884E3,1.000,2.312E-3
2.951E3,1.000,2.312E-3
3.020E3,1.000,2.312E-3
3.090E3,1.000,2.312E-3
3.162E3,1.000,2.312E-3
3.236E3,1.000,2.312E-3
3.311E3,1.000,2.312E-3
3.388E3,1.000,2.312E-3
3.467E3,1.000,2.312E-3
3.548E3,1.000,2.312E-3
3.631E3,1.000,2.312E-3
3.715E3,1.000,2.312E-3
3.802E3,1.000,2.312E-3
3.890E3,1.000,2.312E-3
3.981E3,1.000,2.312E-3
4.074E3,1.000,2.312E-3
4.169E3,1.000,2.312E-3
4.266E3,1.000,2.312E-3
4.365E3,1.000,2.312E-3
4.467E3,1.000,2.311E-3
4.571E3,1.000,2.311E-3
4.677E3,1.000,2.311E-3
4.786E3,1.000,2.311E-3
4.898E3,1.000,2.311E-3
5.012E3,1.000,2.311E-3
5.129E3,1.000,2.311E-3
5.248E3,1.000,2.311E-3
5.370E3,1.000,2.311E-3
5.495E3,1.000,2.311E-3
5.623E3,1.000,2.311E-3
5.754E3,1.000,2.311E-3
5.888E3,1.000,2.311E-3
6.026E3,1.000,2.311E-3
6.166E3,1.000,2.311E-3
6.310E3,1.000,2.311E-3
6.457E3,1.000,2.311E-3
6.607E3,1.000,2.311E-3
6.761E3,1.000,2.311E-3
6.918E3,1.000,2.311E-3
7.079E3,1.000,2.311E-3
7.244E3,1.000,2.311E-3
7.413E3,1.000,2.311E-3
7.586E3,1.000,2.311E-3
7.762E3,1.000,2.311E-3
7.943E3,1.000,2.311E-3
8.128E3,1.000,2.311E-3
8.318E3,1.000,2.311E-3
8.511E3,1.000,2.311E-3
8.710E3,1.000,2.311E-3
8.913E3,1.000,2.311E-3
9.120E3,1.000,2.311E-3
9.333E3,1.000,2.311E-3
9.550E3,1.000,2.311E-3
9.772E3,1.000,2.311E-3
10.00E3,1.000,2.311E-3
10.23E3,1.000,2.311E-3
10.47E3,1.000,2.311E-3
10.72E3,1.000,2.311E-3
10.96E3,1.000,2.311E-3
11.22E3,1.000,2.311E-3
11.48E3,1.000,2.311E-3
11.75E3,1.000,2.311E-3
12.02E3,1.000,2.311E-3
12.30E3,1.000,2.311E-3
12.59E3,1.000,2.311E-3
12.88E3,1.000,2.310E-3
13.18E3,1.000,2.310E-3
13.49E3,1.000,2.310E-3
13.80E3,1.000,2.310E-3
14.13E3,1.000,2.310E-3
14.45E3,1.000,2.310E-3
14.79E3,1.000,2.310E-3
15.14E3,1.000,2.310E-3
15.49E3,1.000,2.310E-3
15.85E3,1.000,2.310E-3
16.22E3,1.000,2.310E-3
16.60E3,1.000,2.310E-3
16.98E3,1.000,2.310E-3
17.38E3,1.000,2.310E-3
17.78E3,1.000,2.310E-3
18.20E3,1.000,2.310E-3
18.62E3,1.000,2.310E-3
19.05E3,1.000,2.310E-3
