time,v_out,v_in
3.713,898.7E-3,900.0E-3
3.783,898.7E-3,900.0E-3
3.853,898.7E-3,900.0E-3
3.923,898.7E-3,900.0E-3
3.993,898.7E-3,900.0E-3
4.000,898.7E-3,900.0E-3
4.000,898.7E-3,901.5E-3
4.000,898.7E-3,904.5E-3
4.000,898.7E-3,910.6E-3
4.000,898.7E-3,922.6E-3
4.000,898.7E-3,946.8E-3
4.000,898.7E-3,995.0E-3
4.000,898.7E-3,1.092
4.000,898.7E-3,1.285
4.000,898.7E-3,1.542
4.000,898.7E-3,1.800
4.000,898.7E-3,1.800
4.000,898.7E-3,1.800
4.000,898.7E-3,1.800
4.000,898.7E-3,1.800
4.000,898.7E-3,1.800
4.000,898.7E-3,1.800
4.000,898.7E-3,1.800
4.000,898.7E-3,1.800
4.000,898.7E-3,1.800
4.000,898.7E-3,1.800
4.000,898.6E-3,1.800
4.000,898.5E-3,1.800
4.000,898.3E-3,1.800
4.000,897.9E-3,1.800
4.000,897.0E-3,1.800
4.000,895.4E-3,1.800
4.000,892.1E-3,1.800
4.000,885.5E-3,1.800
4.001,872.5E-3,1.800
4.002,847.1E-3,1.800
4.004,798.5E-3,1.800
4.006,737.5E-3,1.800
4.008,681.2E-3,1.800
4.011,628.8E-3,1.800
4.013,579.9E-3,1.800
4.016,534.4E-3,1.800
4.018,491.6E-3,1.800
4.021,451.4E-3,1.800
4.023,413.6E-3,1.800
4.026,378.1E-3,1.800
4.029,344.8E-3,1.800
4.032,313.8E-3,1.800
4.035,284.8E-3,1.800
4.038,257.9E-3,1.800
4.041,232.9E-3,1.800
4.045,209.9E-3,1.800
4.048,188.6E-3,1.800
4.052,169.1E-3,1.800
4.056,151.2E-3,1.800
4.059,134.9E-3,1.800
4.064,120.1E-3,1.800
4.068,106.7E-3,1.800
4.072,94.61E-3,1.800
4.077,83.82E-3,1.800
4.082,74.22E-3,1.800
4.087,65.73E-3,1.800
4.093,58.29E-3,1.800
4.099,51.81E-3,1.800
4.105,46.23E-3,1.800
4.112,41.46E-3,1.800
4.119,37.44E-3,1.800
4.127,34.10E-3,1.800
4.135,31.37E-3,1.800
4.144,29.18E-3,1.800
4.154,27.46E-3,1.800
4.166,26.15E-3,1.800
4.178,25.18E-3,1.800
4.192,24.50E-3,1.800
4.209,24.05E-3,1.800
4.228,23.77E-3,1.800
4.250,23.63E-3,1.800
4.278,23.56E-3,1.800
4.314,23.54E-3,1.800
4.363,23.55E-3,1.800
4.433,23.56E-3,1.800
4.503,23.56E-3,1.800
4.573,23.56E-3,1.800
4.643,23.56E-3,1.800
4.713,23.56E-3,1.800
4.783,23.56E-3,1.800
4.853,23.56E-3,1.800
4.923,23.56E-3,1.800
4.993,23.56E-3,1.800
5.000,23.56E-3,1.800
5.000,23.56E-3,1.798
5.000,23.56E-3,1.795
5.000,23.56E-3,1.789
5.000,23.56E-3,1.777
5.000,23.56E-3,1.753
5.000,23.56E-3,1.705
5.000,23.56E-3,1.608
5.000,23.56E-3,1.415
5.000,23.57E-3,1.158
5.000,23.57E-3,900.0E-3
5.000,23.57E-3,900.0E-3
5.000,23.57E-3,900.0E-3
5.000,23.57E-3,900.0E-3
5.000,23.57E-3,900.0E-3
5.000,23.57E-3,900.0E-3
5.000,23.57E-3,900.0E-3
5.000,23.58E-3,900.0E-3
5.000,23.58E-3,900.0E-3
5.000,23.60E-3,900.0E-3
5.000,23.62E-3,900.0E-3
5.000,23.67E-3,900.0E-3
5.000,23.78E-3,900.0E-3
