f, dB, idk
+1.75000000000E+008, -1.63083101245E+000, +0.00000000000E+000
+1.75500000000E+008, -1.64957497954E+000, +0.00000000000E+000
+1.76000000000E+008, -1.67129803164E+000, +0.00000000000E+000
+1.76500000000E+008, -1.66993794109E+000, +0.00000000000E+000
+1.77000000000E+008, -1.67784728087E+000, +0.00000000000E+000
+1.77500000000E+008, -1.67441196375E+000, +0.00000000000E+000
+1.78000000000E+008, -1.69056768177E+000, +0.00000000000E+000
+1.78500000000E+008, -1.69279205375E+000, +0.00000000000E+000
+1.79000000000E+008, -1.69461910403E+000, +0.00000000000E+000
+1.79500000000E+008, -1.67254824529E+000, +0.00000000000E+000
+1.80000000000E+008, -1.68087505824E+000, +0.00000000000E+000
+1.80500000000E+008, -1.68698631250E+000, +0.00000000000E+000
+1.81000000000E+008, -1.73818179446E+000, +0.00000000000E+000
+1.81500000000E+008, -1.76248290909E+000, +0.00000000000E+000
+1.82000000000E+008, -1.80531226894E+000, +0.00000000000E+000
+1.82500000000E+008, -1.82175089316E+000, +0.00000000000E+000
+1.83000000000E+008, -1.84088667878E+000, +0.00000000000E+000
+1.83500000000E+008, -1.90193524925E+000, +0.00000000000E+000
+1.84000000000E+008, -1.93172006400E+000, +0.00000000000E+000
+1.84500000000E+008, -1.97864684277E+000, +0.00000000000E+000
+1.85000000000E+008, -2.01509550181E+000, +0.00000000000E+000
+1.85500000000E+008, -2.05075079068E+000, +0.00000000000E+000
+1.86000000000E+008, -2.07150599475E+000, +0.00000000000E+000
+1.86500000000E+008, -2.03627750812E+000, +0.00000000000E+000
+1.87000000000E+008, -2.00648549701E+000, +0.00000000000E+000
+1.87500000000E+008, -1.98458744563E+000, +0.00000000000E+000
+1.88000000000E+008, -1.96793678801E+000, +0.00000000000E+000
+1.88500000000E+008, -1.96023544928E+000, +0.00000000000E+000
+1.89000000000E+008, -2.00745574169E+000, +0.00000000000E+000
+1.89500000000E+008, -2.04756561890E+000, +0.00000000000E+000
+1.90000000000E+008, -2.08409936378E+000, +0.00000000000E+000
+1.90500000000E+008, -2.08162671056E+000, +0.00000000000E+000
+1.91000000000E+008, -2.02884689068E+000, +0.00000000000E+000
+1.91500000000E+008, -1.95375376775E+000, +0.00000000000E+000
+1.92000000000E+008, -1.90038789464E+000, +0.00000000000E+000
+1.92500000000E+008, -1.85079595730E+000, +0.00000000000E+000
+1.93000000000E+008, -1.81908155368E+000, +0.00000000000E+000
+1.93500000000E+008, -1.79917048592E+000, +0.00000000000E+000
+1.94000000000E+008, -1.80895129317E+000, +0.00000000000E+000
+1.94500000000E+008, -1.81165071738E+000, +0.00000000000E+000
+1.95000000000E+008, -1.86534133949E+000, +0.00000000000E+000
+1.95500000000E+008, -1.89840750430E+000, +0.00000000000E+000
+1.96000000000E+008, -1.91384851156E+000, +0.00000000000E+000
+1.96500000000E+008, -1.92560390173E+000, +0.00000000000E+000
+1.97000000000E+008, -1.92980940576E+000, +0.00000000000E+000
+1.97500000000E+008, -1.92812750765E+000, +0.00000000000E+000
+1.98000000000E+008, -1.88599931055E+000, +0.00000000000E+000
+1.98500000000E+008, -1.82019486202E+000, +0.00000000000E+000
+1.99000000000E+008, -1.69766570058E+000, +0.00000000000E+000
+1.99500000000E+008, -1.59004490837E+000, +0.00000000000E+000
+2.00000000000E+008, -1.46381200705E+000, +0.00000000000E+000
