freq, v_out
61.66,47.75E-3
63.10,46.66E-3
64.57,45.60E-3
66.07,44.57E-3
67.61,43.56E-3
69.18,42.57E-3
70.79,41.60E-3
72.44,40.65E-3
74.13,39.73E-3
75.86,38.83E-3
77.62,37.95E-3
79.43,37.08E-3
81.28,36.24E-3
83.18,35.42E-3
85.11,34.61E-3
87.10,33.82E-3
89.13,33.06E-3
91.20,32.30E-3
93.33,31.57E-3
95.50,30.85E-3
97.72,30.15E-3
100.0,29.46E-3
102.3,28.79E-3
104.7,28.14E-3
107.2,27.50E-3
109.6,26.87E-3
112.2,26.26E-3
114.8,25.67E-3
117.5,25.08E-3
120.2,24.51E-3
123.0,23.95E-3
125.9,23.41E-3
128.8,22.88E-3
131.8,22.36E-3
134.9,21.85E-3
138.0,21.35E-3
141.3,20.86E-3
144.5,20.39E-3
147.9,19.93E-3
151.4,19.47E-3
154.9,19.03E-3
158.5,18.60E-3
162.2,18.17E-3
166.0,17.76E-3
169.8,17.36E-3
173.8,16.96E-3
177.8,16.57E-3
182.0,16.20E-3
186.2,15.83E-3
190.5,15.47E-3
195.0,15.12E-3
199.5,14.77E-3
204.2,14.44E-3
208.9,14.11E-3
213.8,13.79E-3
218.8,13.47E-3
223.9,13.17E-3
229.1,12.87E-3
234.4,12.57E-3
239.9,12.29E-3
245.5,12.01E-3
251.2,11.73E-3
257.0,11.47E-3
263.0,11.21E-3
269.2,10.95E-3
275.4,10.70E-3
281.8,10.46E-3
288.4,10.22E-3
295.1,9.988E-3
302.0,9.761E-3
309.0,9.539E-3
316.2,9.321E-3
323.6,9.109E-3
331.1,8.902E-3
338.8,8.699E-3
346.7,8.501E-3
354.8,8.308E-3
363.1,8.119E-3
371.5,7.934E-3
380.2,7.753E-3
389.0,7.577E-3
398.1,7.404E-3
407.4,7.236E-3
416.9,7.071E-3
426.6,6.910E-3
436.5,6.753E-3
446.7,6.599E-3
457.1,6.449E-3
467.7,6.302E-3
478.6,6.159E-3
489.8,6.019E-3
501.2,5.882E-3
512.9,5.748E-3
524.8,5.617E-3
537.0,5.489E-3
549.5,5.364E-3
562.3,5.242E-3
575.4,5.123E-3
588.8,5.006E-3
602.6,4.892E-3
616.6,4.781E-3
631.0,4.672E-3
645.7,4.566E-3
660.7,4.462E-3
676.1,4.360E-3
691.8,4.261E-3
707.9,4.164E-3
724.4,4.069E-3
741.3,3.976E-3
758.6,3.886E-3
776.2,3.798E-3
794.3,3.711E-3
812.8,3.627E-3
831.8,3.544E-3
851.1,3.463E-3
871.0,3.385E-3
891.3,3.307E-3
912.0,3.232E-3
933.3,3.159E-3
955.0,3.087E-3
977.2,3.016E-3
1.000E3,2.948E-3
1.023E3,2.881E-3
1.047E3,2.815E-3
1.072E3,2.751E-3
1.096E3,2.688E-3
1.122E3,2.627E-3
1.148E3,2.567E-3
1.175E3,2.509E-3
1.202E3,2.452E-3
1.230E3,2.396E-3
1.259E3,2.342E-3
1.288E3,2.288E-3
1.318E3,2.236E-3
1.349E3,2.185E-3
1.380E3,2.136E-3
1.413E3,2.087E-3
1.445E3,2.039E-3
1.479E3,1.993E-3
1.514E3,1.948E-3
1.549E3,1.903E-3
1.585E3,1.860E-3
1.622E3,1.818E-3
1.660E3,1.776E-3
1.698E3,1.736E-3
1.738E3,1.696E-3
1.778E3,1.658E-3
1.820E3,1.620E-3
1.862E3,1.583E-3
1.905E3,1.547E-3
1.950E3,1.512E-3
1.995E3,1.477E-3
2.042E3,1.444E-3
2.089E3,1.411E-3
2.138E3,1.379E-3
2.188E3,1.347E-3
2.239E3,1.317E-3
2.291E3,1.287E-3
2.344E3,1.257E-3
2.399E3,1.229E-3
2.455E3,1.201E-3
2.512E3,1.174E-3
2.570E3,1.147E-3
2.630E3,1.121E-3
2.692E3,1.095E-3
2.754E3,1.070E-3
2.818E3,1.046E-3
2.884E3,1.022E-3
2.951E3,998.9E-6
3.020E3,976.1E-6
3.090E3,953.9E-6
3.162E3,932.2E-6
3.236E3,911.0E-6
3.311E3,890.2E-6
3.388E3,870.0E-6
3.467E3,850.2E-6
3.548E3,830.8E-6
3.631E3,811.9E-6
3.715E3,793.4E-6
3.802E3,775.4E-6
3.890E3,757.7E-6
3.981E3,740.5E-6
4.074E3,723.6E-6
4.169E3,707.1E-6
4.266E3,691.0E-6
4.365E3,675.3E-6
4.467E3,659.9E-6
4.571E3,644.9E-6
4.677E3,630.2E-6
4.786E3,615.9E-6
4.898E3,601.9E-6
5.012E3,588.2E-6
5.129E3,574.8E-6
5.248E3,561.7E-6
5.370E3,548.9E-6
5.495E3,536.4E-6
5.623E3,524.2E-6
5.754E3,512.3E-6
5.888E3,500.6E-6
6.026E3,489.2E-6
6.166E3,478.1E-6
6.310E3,467.2E-6
6.457E3,456.6E-6
6.607E3,446.2E-6
6.761E3,436.0E-6
6.918E3,426.1E-6
7.079E3,416.4E-6
7.244E3,406.9E-6
7.413E3,397.6E-6
7.586E3,388.6E-6
7.762E3,379.7E-6
7.943E3,371.1E-6
8.128E3,362.7E-6
8.318E3,354.4E-6
8.511E3,346.3E-6
8.710E3,338.5E-6
8.913E3,330.7E-6
9.120E3,323.2E-6
9.333E3,315.9E-6
9.550E3,308.7E-6
9.772E3,301.6E-6
10.00E3,294.8E-6
10.23E3,288.1E-6
10.47E3,281.5E-6
10.72E3,275.1E-6
10.96E3,268.8E-6
11.22E3,262.7E-6
11.48E3,256.7E-6
11.75E3,250.9E-6
12.02E3,245.2E-6
12.30E3,239.6E-6
12.59E3,234.1E-6
12.88E3,228.8E-6
13.18E3,223.6E-6
13.49E3,218.5E-6
13.80E3,213.5E-6
14.13E3,208.7E-6
14.45E3,203.9E-6
14.79E3,199.3E-6
15.14E3,194.8E-6
15.49E3,190.3E-6
15.85E3,186.0E-6
16.22E3,181.8E-6
16.60E3,177.6E-6
16.98E3,173.6E-6
17.38E3,169.6E-6
17.78E3,165.8E-6
18.20E3,162.0E-6
18.62E3,158.3E-6
19.05E3,154.7E-6
19.50E3,151.2E-6
19.95E3,147.7E-6
20.42E3,144.4E-6
20.89E3,141.1E-6
21.38E3,137.9E-6
21.88E3,134.7E-6
22.39E3,131.7E-6
22.91E3,128.7E-6
23.44E3,125.7E-6
23.99E3,122.9E-6
24.55E3,120.1E-6
25.12E3,117.3E-6
25.70E3,114.7E-6
26.30E3,112.1E-6
26.92E3,109.5E-6
27.54E3,107.0E-6
28.18E3,104.6E-6
28.84E3,102.2E-6
29.51E3,99.87E-6
30.20E3,97.60E-6
30.90E3,95.37E-6
31.62E3,93.20E-6
32.36E3,91.08E-6
33.11E3,89.01E-6
33.88E3,86.98E-6
34.67E3,85.00E-6
35.48E3,83.06E-6
36.31E3,81.17E-6
37.15E3,79.32E-6
38.02E3,77.52E-6
38.90E3,75.75E-6
39.81E3,74.03E-6
40.74E3,72.34E-6
41.69E3,70.69E-6
42.66E3,69.08E-6
43.65E3,67.51E-6
44.67E3,65.97E-6
45.71E3,64.47E-6
46.77E3,63.00E-6
47.86E3,61.56E-6
48.98E3,60.16E-6
50.12E3,58.79E-6
51.29E3,57.45E-6
52.48E3,56.14E-6
53.70E3,54.86E-6
54.95E3,53.61E-6
56.23E3,52.39E-6
57.54E3,51.20E-6
58.88E3,50.03E-6
60.26E3,48.89E-6
61.66E3,47.78E-6
63.10E3,46.69E-6
64.57E3,45.62E-6
66.07E3,44.58E-6
67.61E3,43.57E-6
69.18E3,42.57E-6
70.79E3,41.60E-6
72.44E3,40.65E-6
74.13E3,39.73E-6
75.86E3,38.82E-6
77.62E3,37.93E-6
79.43E3,37.07E-6
81.28E3,36.22E-6
83.18E3,35.40E-6
85.11E3,34.59E-6
87.10E3,33.80E-6
89.13E3,33.03E-6
91.20E3,32.27E-6
93.33E3,31.54E-6
95.50E3,30.82E-6
97.72E3,30.11E-6
100.0E3,29.43E-6
102.3E3,28.75E-6
104.7E3,28.10E-6
107.2E3,27.45E-6
109.6E3,26.83E-6
112.2E3,26.21E-6
114.8E3,25.61E-6
117.5E3,25.03E-6
120.2E3,24.46E-6
123.0E3,23.90E-6
125.9E3,23.35E-6
128.8E3,22.82E-6
131.8E3,22.29E-6
134.9E3,21.78E-6
138.0E3,21.28E-6
141.3E3,20.80E-6
144.5E3,20.32E-6
147.9E3,19.85E-6
151.4E3,19.40E-6
154.9E3,18.95E-6
158.5E3,18.52E-6
162.2E3,18.09E-6
166.0E3,17.68E-6
169.8E3,17.27E-6
173.8E3,16.87E-6
177.8E3,16.49E-6
182.0E3,16.11E-6
186.2E3,15.74E-6
190.5E3,15.37E-6
195.0E3,15.02E-6
199.5E3,14.67E-6
204.2E3,14.33E-6
208.9E3,14.00E-6
213.8E3,13.68E-6
218.8E3,13.36E-6
223.9E3,13.06E-6
229.1E3,12.75E-6
234.4E3,12.46E-6
239.9E3,12.17E-6
245.5E3,11.89E-6
251.2E3,11.61E-6
257.0E3,11.34E-6
263.0E3,11.08E-6
269.2E3,10.82E-6
275.4E3,10.57E-6
281.8E3,10.32E-6
288.4E3,10.08E-6
295.1E3,9.847E-6
302.0E3,9.617E-6
309.0E3,9.392E-6
316.2E3,9.172E-6
323.6E3,8.957E-6
331.1E3,8.747E-6
338.8E3,8.542E-6
346.7E3,8.341E-6
354.8E3,8.144E-6
363.1E3,7.953E-6
371.5E3,7.765E-6
380.2E3,7.582E-6
389.0E3,7.402E-6
398.1E3,7.227E-6
407.4E3,7.056E-6
416.9E3,6.889E-6
426.6E3,6.725E-6
436.5E3,6.565E-6
446.7E3,6.409E-6
457.1E3,6.256E-6
467.7E3,6.107E-6
478.6E3,5.961E-6
489.8E3,5.818E-6
501.2E3,5.679E-6
512.9E3,5.543E-6
524.8E3,5.410E-6
537.0E3,5.280E-6
549.5E3,5.153E-6
562.3E3,5.029E-6
575.4E3,4.907E-6
588.8E3,4.789E-6
602.6E3,4.674E-6
616.6E3,4.561E-6
631.0E3,4.451E-6
645.7E3,4.343E-6
660.7E3,4.238E-6
676.1E3,4.136E-6
691.8E3,4.036E-6
707.9E3,3.939E-6
724.4E3,3.843E-6
741.3E3,3.751E-6
758.6E3,3.660E-6
776.2E3,3.572E-6
794.3E3,3.486E-6
812.8E3,3.403E-6
831.8E3,3.321E-6
851.1E3,3.242E-6
871.0E3,3.164E-6
891.3E3,3.089E-6
912.0E3,3.016E-6
933.3E3,2.944E-6
955.0E3,2.875E-6
977.2E3,2.808E-6
1.000E6,2.742E-6
1.023E6,2.678E-6
1.047E6,2.616E-6
1.072E6,2.556E-6
1.096E6,2.498E-6
1.122E6,2.441E-6
1.148E6,2.386E-6
1.175E6,2.333E-6
1.202E6,2.281E-6
1.230E6,2.231E-6
1.259E6,2.182E-6
1.288E6,2.135E-6
1.318E6,2.089E-6
1.349E6,2.045E-6
1.380E6,2.002E-6
1.413E6,1.961E-6
1.445E6,1.921E-6
1.479E6,1.882E-6
1.514E6,1.845E-6
1.549E6,1.809E-6
1.585E6,1.774E-6
1.622E6,1.740E-6
1.660E6,1.708E-6
1.698E6,1.676E-6
1.738E6,1.646E-6
1.778E6,1.617E-6
1.820E6,1.589E-6
1.862E6,1.561E-6
1.905E6,1.535E-6
1.950E6,1.510E-6
1.995E6,1.486E-6
2.042E6,1.463E-6
2.089E6,1.440E-6
2.138E6,1.418E-6
2.188E6,1.398E-6
2.239E6,1.378E-6
2.291E6,1.358E-6
