freq,v_out,v_in
741.3,7.200E-3,1.000
758.6,7.036E-3,1.000
776.2,6.876E-3,1.000
794.3,6.719E-3,1.000
812.8,6.567E-3,1.000
831.8,6.417E-3,1.000
851.1,6.271E-3,1.000
871.0,6.128E-3,1.000
891.3,5.989E-3,1.000
912.0,5.852E-3,1.000
933.3,5.719E-3,1.000
955.0,5.589E-3,1.000
977.2,5.462E-3,1.000
1.000E3,5.338E-3,1.000
1.023E3,5.216E-3,1.000
1.047E3,5.097E-3,1.000
1.072E3,4.981E-3,1.000
1.096E3,4.868E-3,1.000
1.122E3,4.757E-3,1.000
1.148E3,4.649E-3,1.000
1.175E3,4.543E-3,1.000
1.202E3,4.440E-3,1.000
1.230E3,4.339E-3,1.000
1.259E3,4.240E-3,1.000
1.288E3,4.143E-3,1.000
1.318E3,4.049E-3,1.000
1.349E3,3.957E-3,1.000
1.380E3,3.867E-3,1.000
1.413E3,3.779E-3,1.000
1.445E3,3.693E-3,1.000
1.479E3,3.609E-3,1.000
1.514E3,3.526E-3,1.000
1.549E3,3.446E-3,1.000
1.585E3,3.368E-3,1.000
1.622E3,3.291E-3,1.000
1.660E3,3.216E-3,1.000
1.698E3,3.143E-3,1.000
1.738E3,3.071E-3,1.000
1.778E3,3.002E-3,1.000
1.820E3,2.933E-3,1.000
1.862E3,2.866E-3,1.000
1.905E3,2.801E-3,1.000
1.950E3,2.737E-3,1.000
1.995E3,2.675E-3,1.000
2.042E3,2.614E-3,1.000
2.089E3,2.555E-3,1.000
2.138E3,2.497E-3,1.000
2.188E3,2.440E-3,1.000
2.239E3,2.384E-3,1.000
2.291E3,2.330E-3,1.000
2.344E3,2.277E-3,1.000
2.399E3,2.225E-3,1.000
2.455E3,2.174E-3,1.000
2.512E3,2.125E-3,1.000
2.570E3,2.077E-3,1.000
2.630E3,2.029E-3,1.000
2.692E3,1.983E-3,1.000
2.754E3,1.938E-3,1.000
2.818E3,1.894E-3,1.000
2.884E3,1.851E-3,1.000
2.951E3,1.809E-3,1.000
3.020E3,1.767E-3,1.000
3.090E3,1.727E-3,1.000
3.162E3,1.688E-3,1.000
3.236E3,1.649E-3,1.000
3.311E3,1.612E-3,1.000
3.388E3,1.575E-3,1.000
3.467E3,1.539E-3,1.000
3.548E3,1.504E-3,1.000
3.631E3,1.470E-3,1.000
3.715E3,1.437E-3,1.000
3.802E3,1.404E-3,1.000
3.890E3,1.372E-3,1.000
3.981E3,1.341E-3,1.000
4.074E3,1.310E-3,1.000
4.169E3,1.280E-3,1.000
4.266E3,1.251E-3,1.000
4.365E3,1.223E-3,1.000
4.467E3,1.195E-3,1.000
4.571E3,1.168E-3,1.000
4.677E3,1.141E-3,1.000
4.786E3,1.115E-3,1.000
4.898E3,1.090E-3,1.000
5.012E3,1.065E-3,1.000
5.129E3,1.041E-3,1.000
5.248E3,1.017E-3,1.000
5.370E3,993.9E-6,1.000
5.495E3,971.3E-6,1.000
5.623E3,949.2E-6,1.000
5.754E3,927.6E-6,1.000
5.888E3,906.4E-6,1.000
6.026E3,885.8E-6,1.000
6.166E3,865.6E-6,1.000
6.310E3,845.9E-6,1.000
6.457E3,826.7E-6,1.000
6.607E3,807.9E-6,1.000
6.761E3,789.5E-6,1.000
6.918E3,771.5E-6,1.000
7.079E3,753.9E-6,1.000
7.244E3,736.8E-6,1.000
7.413E3,720.0E-6,1.000
7.586E3,703.6E-6,1.000
7.762E3,687.6E-6,1.000
7.943E3,672.0E-6,1.000
8.128E3,656.7E-6,1.000
8.318E3,641.7E-6,1.000
8.511E3,627.1E-6,1.000
8.710E3,612.8E-6,1.000
8.913E3,598.9E-6,1.000
9.120E3,585.2E-6,1.000
9.333E3,571.9E-6,1.000
9.550E3,558.9E-6,1.000
9.772E3,546.2E-6,1.000
10.00E3,533.7E-6,1.000
10.23E3,521.6E-6,1.000
10.47E3,509.7E-6,1.000
10.72E3,498.1E-6,1.000
10.96E3,486.8E-6,1.000
11.22E3,475.7E-6,1.000
11.48E3,464.9E-6,1.000
11.75E3,454.3E-6,1.000
12.02E3,443.9E-6,1.000
12.30E3,433.8E-6,1.000
12.59E3,424.0E-6,1.000
12.88E3,414.3E-6,1.000
13.18E3,404.9E-6,1.000
13.49E3,395.7E-6,1.000
13.80E3,386.7E-6,1.000
14.13E3,377.9E-6,1.000
14.45E3,369.3E-6,1.000
14.79E3,360.9E-6,1.000
15.14E3,352.6E-6,1.000
15.49E3,344.6E-6,1.000
15.85E3,336.8E-6,1.000
16.22E3,329.1E-6,1.000
16.60E3,321.6E-6,1.000
16.98E3,314.3E-6,1.000
17.38E3,307.1E-6,1.000
17.78E3,300.1E-6,1.000
18.20E3,293.3E-6,1.000
18.62E3,286.6E-6,1.000
19.05E3,280.1E-6,1.000
19.50E3,273.7E-6,1.000
19.95E3,267.5E-6,1.000
20.42E3,261.4E-6,1.000
20.89E3,255.5E-6,1.000
21.38E3,249.6E-6,1.000
21.88E3,244.0E-6,1.000
22.39E3,238.4E-6,1.000
22.91E3,233.0E-6,1.000
23.44E3,227.7E-6,1.000
23.99E3,222.5E-6,1.000
24.55E3,217.4E-6,1.000
25.12E3,212.5E-6,1.000
25.70E3,207.6E-6,1.000
26.30E3,202.9E-6,1.000
26.92E3,198.3E-6,1.000
27.54E3,193.8E-6,1.000
28.18E3,189.4E-6,1.000
28.84E3,185.0E-6,1.000
29.51E3,180.8E-6,1.000
30.20E3,176.7E-6,1.000
30.90E3,172.7E-6,1.000
31.62E3,168.8E-6,1.000
32.36E3,164.9E-6,1.000
33.11E3,161.2E-6,1.000
33.88E3,157.5E-6,1.000
34.67E3,153.9E-6,1.000
35.48E3,150.4E-6,1.000
36.31E3,147.0E-6,1.000
37.15E3,143.6E-6,1.000
38.02E3,140.4E-6,1.000
38.90E3,137.2E-6,1.000
39.81E3,134.0E-6,1.000
40.74E3,131.0E-6,1.000
41.69E3,128.0E-6,1.000
42.66E3,125.1E-6,1.000
43.65E3,122.2E-6,1.000
44.67E3,119.5E-6,1.000
45.71E3,116.7E-6,1.000
46.77E3,114.1E-6,1.000
47.86E3,111.5E-6,1.000
48.98E3,108.9E-6,1.000
50.12E3,106.5E-6,1.000
51.29E3,104.0E-6,1.000
52.48E3,101.7E-6,1.000
53.70E3,99.34E-6,1.000
54.95E3,97.08E-6,1.000
56.23E3,94.87E-6,1.000
57.54E3,92.70E-6,1.000
58.88E3,90.59E-6,1.000
60.26E3,88.53E-6,1.000
61.66E3,86.51E-6,1.000
63.10E3,84.54E-6,1.000
64.57E3,82.61E-6,1.000
66.07E3,80.73E-6,1.000
67.61E3,78.89E-6,1.000
69.18E3,77.09E-6,1.000
70.79E3,75.33E-6,1.000
72.44E3,73.61E-6,1.000
74.13E3,71.93E-6,1.000
75.86E3,70.29E-6,1.000
77.62E3,68.69E-6,1.000
79.43E3,67.12E-6,1.000
81.28E3,65.59E-6,1.000
83.18E3,64.10E-6,1.000
85.11E3,62.63E-6,1.000
87.10E3,61.20E-6,1.000
89.13E3,59.81E-6,1.000
91.20E3,58.44E-6,1.000
93.33E3,57.11E-6,1.000
95.50E3,55.80E-6,1.000
97.72E3,54.53E-6,1.000
100.0E3,53.28E-6,1.000
102.3E3,52.07E-6,1.000
104.7E3,50.88E-6,1.000
107.2E3,49.71E-6,1.000
109.6E3,48.58E-6,1.000
112.2E3,47.47E-6,1.000
114.8E3,46.38E-6,1.000
117.5E3,45.32E-6,1.000
120.2E3,44.29E-6,1.000
123.0E3,43.27E-6,1.000
125.9E3,42.28E-6,1.000
128.8E3,41.32E-6,1.000
131.8E3,40.37E-6,1.000
134.9E3,39.45E-6,1.000
138.0E3,38.54E-6,1.000
141.3E3,37.66E-6,1.000
144.5E3,36.80E-6,1.000
147.9E3,35.95E-6,1.000
151.4E3,35.13E-6,1.000
154.9E3,34.32E-6,1.000
158.5E3,33.53E-6,1.000
162.2E3,32.76E-6,1.000
166.0E3,32.01E-6,1.000
169.8E3,31.28E-6,1.000
173.8E3,30.56E-6,1.000
177.8E3,29.86E-6,1.000
182.0E3,29.17E-6,1.000
186.2E3,28.50E-6,1.000
190.5E3,27.84E-6,1.000
195.0E3,27.20E-6,1.000
